Wave,Build_Type,Player_Level,Result,Time_To_Clear,Kill_Slime,Kill_Rusher,Kill_Tank,Kill_Drifter,Kill_Elite,Kill_Total,HP_Start_Hull,HP_Start_Shield,HP_End_Hull,HP_End_Shield,Dmg_From_Mobs,Dmg_From_Boss,Player_HP_Lost,Tank_Absorbed_Ratio,Dmg_Main_Laser,Dmg_Sub_Laser,Dmg_Explosion,Dmg_Chain,Crit_Damage_Total,Crit_Hit_Count,Normal_Hit_Count,Overkill_Ratio,Dmg_Dealt_Total,Frost_Slow_Count,Frost_Freeze_Count,Frost_Slow_Duration,Panel_DPS,Panel_Crit_Rate,Panel_Laser_Width,Drone_Choice,Drone_Reward_Type,Drone_Reward_Value,Drone_Acc_Health,Drone_Acc_Shield,Drone_Acc_Damage_Pct,Drone_Acc_Crit_Pct,Drone_Acc_Laser_Width,Drone_Acc_Laser_Length,Drone_Count_Supply,Drone_Count_Gacha,Drone_Count_Deal,Boss_Dmg_Collision,Boss_Dmg_Bullet,Boss_Pushback_Time,Boss_Phase,Boss_HP_Remaining,Boss_Charge_Count,Boss_Press_Count,Boss_Summon_Count,Boss_Stun_Count,Skill_Path,Skill_Levels,Overload_Count,DPS_Peak,Enemy_Total_HP
1,Mix,2,Win,43.3,19,0,0,0,0,19,2000,1000,2000,1000,0,0,0,0.00,20200,0,0,0,3600,18,166,0.01,20200,0,0,0.0,1000,0.10,0.50,Gacha,LaserWidthPercent,激光宽度+10%,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0.0,None,1.00,0,0,0,0,"Wide","Wide:1",0,1200,20000
2,Mix,4,Win,71.8,20,0,0,4,0,24,2000,1000,2000,1000,0,0,0,0.00,33230,0,0,930,5200,26,440,0.02,34160,0,0,0.0,1000,0.10,0.63,Gacha,BaseDamageFlat,激光攻击力+150,0,0,0.0,0.0,0.0,0.0,0,2,0,0,0,0.0,None,1.00,0,0,0,0,"Wide>Chain>Chain","Wide:1|Chain:2",1,1920,32500
3,Mix,5,Win,80.2,18,0,0,7,0,25,2000,1000,2000,1000,0,0,0,0.00,39144,0,0,1654,6900,30,564,0.03,40799,0,0,0.0,1150,0.10,0.63,Gacha,LaserLengthPercent,激光长度+10%,0,0,0.0,0.0,0.0,0.0,0,3,0,0,0,0.0,None,1.00,0,0,0,0,"Wide>Chain>Chain>Chain","Wide:1|Chain:3",0,2099,38000
4,Mix,6,Win,33.9,20,4,0,0,0,24,2000,1000,2000,1000,0,0,0,0.00,25778,0,0,1053,4600,20,363,0.06,26831,0,0,0.0,1150,0.10,0.63,Gacha_Epic,BaseDamageFlat,激光攻击力+500,0,0,0.0,0.0,0.0,0.0,0,4,0,0,0,0.0,None,1.00,0,0,0,0,"Wide>Chain>Chain>Chain>Crit","Wide:1|Chain:3|Crit:1",0,1723,24200
5,Mix,6,Win,40.1,10,7,0,5,0,22,2000,1000,2000,850,150,0,150,0.00,35916,0,0,771,8910,27,253,0.06,36686,0,0,0.0,1650,0.15,0.63,Gacha_Coin,CoinReward,金币+100,0,0,0.0,0.0,0.0,0.0,0,5,0,0,0,0.0,None,1.00,0,0,0,0,"Wide>Chain>Chain>Chain>Crit","Wide:1|Chain:3|Crit:1",0,2079,33360
6,Mix,8,Win,51.8,20,8,1,0,1,30,2000,850,2000,850,0,0,0,0.66,106790,0,0,7691,27456,64,1074,0.03,114482,0,0,0.0,2145,0.15,0.63,Gacha_Negative,NextWaveHealthBuff,下一波怪物血量+40%,0,0,0.0,0.0,0.0,0.0,0,6,0,0,0,0.0,None,1.00,0,0,0,0,"Wide>Chain>Chain>Chain>Crit>Focus>Chain","Wide:1|Chain:4|Crit:1|Focus:1",0,3647,102960
7,A,9,Win,54.7,35,6,4,0,0,45,2000,850,2000,830,20,0,20,0.48,114600,0,0,9065,35607,83,1202,0.05,123665,0,0,0.0,2145,0.15,0.63,Gacha_Epic,LaserLengthPercent,激光长度+20%,0,0,0.0,0.0,0.0,0.0,0,7,0,0,0,0.0,None,1.00,0,0,0,0,"Wide>Chain>Chain>Chain>Crit>Focus>Chain>Impact","Wide:1|Chain:4|Crit:1|Focus:1|Impact:1",0,4227,108360
8,A,11,Win,68.5,35,0,0,19,0,54,2000,830,1490,0,1350,0,1340,0.00,165421,0,0,4034,26268,54,717,0.29,169455,0,0,0.0,2145,0.15,0.63,Gacha,LaserLengthPercent,激光长度+10%,0,0,0.0,0.0,0.0,0.0,0,8,0,0,0,0.0,None,1.00,0,0,0,0,"Wide>Chain>Chain>Chain>Crit>Focus>Chain>Impact>Chain>Focus","Wide:1|Chain:5|Crit:1|Focus:2|Impact:1",1,51068,127500
9,A,12,Win,45.7,39,14,4,0,1,58,1490,0,1440,0,50,0,50,0.35,148354,3713,0,11511,37373,73,1389,0.05,163577,0,0,0.0,2475,0.15,0.63,Gacha,LaserWidthPercent,激光宽度+10%,0,0,0.0,0.0,0.0,0.0,0,9,0,0,0,0.0,None,1.00,0,0,0,0,"Wide>Chain>Chain>Chain>Crit>Focus>Chain>Impact>Chain>Focus>Prism","Wide:1|Chain:5|Crit:1|Focus:2|Impact:1|Prism:1",1,9306,144160
10,A,13,Loss,31.8,32,8,0,7,0,47,1440,0,0,0,1480,0,1440,0.23,99327,13303,0,4856,25270,77,987,0.05,117486,0,0,0.0,4950,0.15,1.30,None,None,None,0,0,0.0,0.0,0.0,0.0,0,9,0,0,0,0.0,None,1.00,0,0,0,0,"Wide>Chain>Chain>Chain>Crit>Focus>Chain>Impact>Chain>Focus>Prism>Impact","Wide:1|Chain:5|Crit:1|Focus:2|Impact:2|Prism:1",0,8494,221120
