Wave,Build_Type,Player_Level,Result,Time_To_Clear,Kill_Slime,Kill_Rusher,Kill_Tank,Kill_Drifter,Kill_Elite,Kill_Total,HP_Start_Hull,HP_Start_Shield,HP_End_Hull,HP_End_Shield,Dmg_From_Mobs,Dmg_From_Boss,Player_HP_Lost,Tank_Absorbed_Ratio,Dmg_Main_Laser,Dmg_Sub_Laser,Dmg_Explosion,Dmg_Chain,Crit_Damage_Total,Crit_Hit_Count,Normal_Hit_Count,Overkill_Ratio,Dmg_Dealt_Total,Frost_Slow_Count,Frost_Freeze_Count,Frost_Slow_Duration,Panel_DPS,Panel_Crit_Rate,Panel_Laser_Width,Drone_Choice,Drone_Reward_Type,Drone_Reward_Value,Drone_Acc_Health,Drone_Acc_Shield,Drone_Acc_Damage_Pct,Drone_Acc_Crit_Pct,Drone_Acc_Laser_Width,Drone_Acc_Laser_Length,Drone_Count_Supply,Drone_Count_Gacha,Drone_Count_Deal,Boss_Dmg_Collision,Boss_Dmg_Bullet,Boss_Pushback_Time,Boss_Phase,Boss_HP_Remaining,Boss_Charge_Count,Boss_Press_Count,Boss_Summon_Count,Boss_Stun_Count,Skill_Path,Skill_Levels,Overload_Count,DPS_Peak,Enemy_Total_HP
1,Mix,2,Win,43.7,19,0,0,0,0,19,2000,1000,2000,1000,0,0,0,0.00,20380,0,0,280,4000,20,217,0.02,20660,0,0,0.0,1000,0.10,0.50,Deal,HealthLoss→LaserWidthPercent,生命值-80|激光宽度+8%,0,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,None,1.00,0,0,0,0,"Chain","Chain:1",0,1300,20000
2,B,4,Win,63.7,20,0,0,4,0,24,1920,1000,1920,1000,0,0,0,0.00,33580,0,0,1180,5200,26,508,0.03,34760,0,0,0.0,1000,0.10,0.54,Deal,HealthLoss→BaseDamageFlat,生命值-150|激光攻击力+300,0,0,0.0,0.0,0.0,0.0,0,0,2,0,0,0.0,None,1.00,0,0,0,0,"Chain>Wide>Prism","Chain:1|Wide:1|Prism:1",0,1720,32500
3,B,5,Win,53.9,18,0,0,7,0,25,1770,1000,1770,1000,0,0,0,0.00,41252,163,0,1082,8580,31,380,0.07,42497,0,0,0.0,1300,0.10,0.60,Deal,HealthLoss→LaserLengthPercent,生命值-150|激光长度+15%,0,0,0.0,0.0,0.0,0.0,0,0,3,0,0,0.0,None,1.00,0,0,0,0,"Chain>Wide>Prism>Chain","Chain:2|Wide:1|Prism:1",1,3484,38000
4,B,6,Win,34.2,20,4,0,0,0,24,1620,1000,1620,1000,0,0,0,0.00,25788,293,0,958,3536,15,322,0.07,27039,0,0,0.0,1300,0.10,0.60,Gacha_Coin,CoinReward,金币+50,0,0,0.0,0.0,0.0,0.0,0,1,3,0,0,0.0,None,1.00,0,0,0,0,"Chain>Wide>Prism>Chain>Prism","Chain:2|Wide:1|Prism:2",0,1794,24200
5,B,6,Win,47.9,10,7,0,5,0,22,1620,1000,1620,1000,0,0,0,0.00,35159,637,0,1229,7631,30,407,0.05,37024,0,0,0.0,1300,0.10,0.60,Deal,ShieldLoss→BaseDamagePercent,护盾值-100|激光攻击力+15%,0,0,0.0,0.0,0.0,0.0,0,1,4,0,0,0.0,None,1.00,0,0,0,0,"Chain>Wide>Prism>Chain>Prism","Chain:2|Wide:1|Prism:2",0,2054,33360
6,B,7,Win,43.1,20,8,2,0,0,30,1620,900,1620,900,0,0,0,0.66,77742,27261,0,7925,19226,76,2056,0.02,112930,0,0,0.0,1495,0.10,0.60,Deal,HealthLoss→BaseDamagePercent,生命值-80|激光攻击力+12%,0,0,0.0,0.0,0.0,0.0,0,1,5,0,0,0.0,None,1.00,0,0,0,0,"Chain>Wide>Prism>Chain>Prism>Prism","Chain:2|Wide:1|Prism:3",1,7800,102960
7,B,9,Win,52.6,35,6,4,0,0,45,1540,900,1540,870,30,0,30,0.49,74088,37230,0,5241,17005,73,1578,0.03,116559,0,0,0.0,1651,0.10,0.60,Deal,HealthLoss→BaseDamageFlat,生命值-150|激光攻击力+300,0,0,0.0,0.0,0.0,0.0,0,1,6,0,0,0.0,None,1.00,0,0,0,0,"Chain>Wide>Prism>Chain>Prism>Prism>Prism>Prism","Chain:2|Wide:1|Prism:5",0,4464,108360
8,B,11,Win,55.8,35,0,0,19,0,54,1390,870,1390,570,300,0,300,0.00,88851,45110,0,4116,27026,70,1122,0.05,138077,0,0,0.0,2032,0.10,0.60,Deal,HealthLoss→CritRatePercent,生命值-80|激光暴击率+4%,0,0,0.0,0.0,0.0,0.0,0,1,7,0,0,0.0,None,1.00,0,0,0,0,"Chain>Wide>Prism>Chain>Prism>Prism>Prism>Prism>Chain>Chain","Chain:4|Wide:1|Prism:5",1,9932,127500
9,B,12,Win,49.8,40,14,4,0,0,58,1310,570,1310,550,20,0,20,0.34,89367,60655,0,7884,34138,120,1852,0.04,157906,0,0,0.0,2032,0.14,0.60,Deal,HealthLoss→BaseDamageFlat,生命值-150|激光攻击力+300,0,0,0.0,0.0,0.0,0.0,0,1,8,0,0,0.0,None,1.00,0,0,0,0,"Chain>Wide>Prism>Chain>Prism>Prism>Prism>Prism>Chain>Chain>Chain","Chain:5|Wide:1|Prism:5",0,8214,144160
10,B,14,Win,51.9,60,14,5,14,0,93,1160,550,1160,510,40,0,40,0.26,121603,121615,0,9640,51638,128,1864,0.05,252857,0,0,0.0,2413,0.14,0.60,Deal,HealthLoss→BaseDamagePercent,生命值-150|激光攻击力+18%,0,0,0.0,0.0,0.0,0.0,0,1,9,0,0,0.0,None,1.00,0,0,0,0,"Chain>Wide>Prism>Chain>Prism>Prism>Prism>Prism>Chain>Chain>Chain>Wide>Wide","Chain:5|Wide:3|Prism:5",1,24420,228960
11,B,15,Win,42.9,90,20,5,0,0,115,1010,510,1010,480,30,0,30,0.31,146565,159928,0,11571,75763,217,2561,0.05,318069,0,0,0.0,2755,0.14,0.80,Supply,HealthRestore,生命值+250,0,0,0.0,0.0,0.0,0.0,1,1,9,0,0,0.0,None,1.00,0,0,0,0,"Chain>Wide>Prism>Chain>Prism>Prism>Prism>Prism>Chain>Chain>Chain>Wide>Wide>Wide","Chain:5|Wide:4|Prism:5",0,14849,292000
12,B,16,Win,73.1,0,24,0,0,0,24,1260,480,1260,180,0,600,300,0.00,193,10607,0,193,3306,12,81,0.11,10992,0,0,0.0,2755,0.14,1.00,None,None,None,0,0,0.0,0.0,0.0,0.0,1,1,9,600,0,20.3,Press,0.00,2,4,3,3,"Chain>Wide>Prism>Chain>Prism>Prism>Prism>Prism>Chain>Chain>Chain>Wide>Wide>Wide>Wide","Chain:5|Wide:5|Prism:5",1,2176,0
