Wave,Build_Type,Player_Level,Result,Time_To_Clear,Kill_Slime,Kill_Rusher,Kill_Tank,Kill_Drifter,Kill_Elite,Kill_Total,HP_Start_Hull,HP_Start_Shield,HP_End_Hull,HP_End_Shield,Dmg_From_Mobs,Dmg_From_Boss,Player_HP_Lost,Tank_Absorbed_Ratio,Dmg_Main_Laser,Dmg_Sub_Laser,Dmg_Explosion,Dmg_Chain,Crit_Damage_Total,Crit_Hit_Count,Normal_Hit_Count,Overkill_Ratio,Dmg_Dealt_Total,Frost_Slow_Count,Frost_Freeze_Count,Frost_Slow_Duration,Panel_DPS,Panel_Crit_Rate,Panel_Laser_Width,Drone_Choice,Drone_Reward_Type,Drone_Reward_Value,Drone_Acc_Health,Drone_Acc_Shield,Drone_Acc_Damage_Pct,Drone_Acc_Crit_Pct,Drone_Acc_Laser_Width,Drone_Acc_Laser_Length,Drone_Count_Supply,Drone_Count_Gacha,Drone_Count_Deal,Boss_Dmg_Collision,Boss_Dmg_Bullet,Boss_Pushback_Time,Boss_Phase,Boss_HP_Remaining,Boss_Charge_Count,Boss_Press_Count,Boss_Summon_Count,Boss_Stun_Count,Skill_Path,Skill_Levels,Overload_Count,DPS_Peak,Enemy_Total_HP,Effective_DPS,Player_Hit_Count,Exp_Gained,Gold_Gained,Time_In_Danger,Spawn_Slime,Spawn_Rusher,Spawn_Tank,Spawn_Drifter,Spawn_Elite,Spawn_Total,Wave_Config_Id
1,Mix,3,Win,41.7,19,0,0,0,0,19,2000,1000,2000,1000,0,0,0,0.00,20060,0,0,0,2520,13,177,0.00,20060,0,0,0.0,1000,0.10,0.50,Gacha_Coin,CoinReward,金币+100,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0.0,None,1.00,0,0,0,0,"Reflex>Reflex","Reflex:2",0,1100,20000,481.2,0,360,95,0.00,20,0,0,0,0,20,Chapter01_01_Test
2,Mix,5,Win,55.6,15,0,2,0,0,17,2000,1000,2000,1000,0,0,0,0.62,43000,0,0,0,6800,34,362,0.00,43000,0,0,0.0,1000,0.10,0.50,Gacha,BaseDamageFlat,激光攻击力+150,0,0,0.0,0.0,0.0,0.0,0,2,0,0,0,0.0,None,1.00,0,0,0,0,"Reflex>Reflex>Prism>Prism","Reflex:2|Prism:2",0,1300,42900,773.4,0,460,125,0.00,15,0,3,0,0,18,Chapter01_01_Test
3,Mix,7,Win,46.9,15,24,1,0,0,40,2000,1000,2000,1000,0,0,0,0.22,39284,3884,0,0,7450,36,349,0.07,43168,0,0,0.0,1150,0.10,0.50,Gacha_Coin,CoinReward,金币+100,0,0,0.0,0.0,0.0,0.0,0,3,0,0,0,0.0,None,1.00,0,0,0,0,"Reflex>Reflex>Prism>Prism>Reflex>Reflex","Reflex:4|Prism:2",0,2001,40320,921.4,0,724,172,0.00,16,24,1,0,0,41,Chapter01_01_Test
4,B,9,Win,52.0,16,6,1,5,0,28,2000,1000,2000,550,450,0,450,0.19,45517,8374,0,0,9129,40,408,0.04,53891,0,0,0.0,1150,0.10,0.50,Gacha_Epic,CritRatePercent,激光暴击率+16%,0,0,0.0,0.0,0.0,0.0,0,4,0,0,0,0.0,None,1.00,0,0,0,0,"Reflex>Reflex>Prism>Prism>Reflex>Reflex>Prism>Wide","Reflex:4|Prism:3|Wide:1",1,3381,53820,1037.3,3,696,173,0.00,16,6,1,6,0,29,Chapter01_01_Test
5,B,11,Win,33.1,40,12,0,0,0,52,2000,550,2000,400,150,0,150,0.00,40227,29256,0,0,19920,106,520,0.05,69483,0,0,0.0,1150,0.18,0.60,Gacha,CritRatePercent,激光暴击率+3%,0,0,0.0,0.0,0.0,0.0,0,5,0,0,0,0.0,None,1.00,0,0,0,0,"Reflex>Reflex>Prism>Prism>Reflex>Reflex>Prism>Wide>Prism>Prism","Reflex:4|Prism:5|Wide:1",0,4750,67800,2101.7,5,976,236,0.00,40,13,0,0,0,53,Chapter01_01_Test
6,B,13,Win,51.1,20,8,4,0,1,33,2000,400,2000,350,50,0,50,0.72,58765,92140,0,0,53751,294,1068,0.01,150905,0,0,0.0,1150,0.21,0.60,Gacha,CritRatePercent,激光暴击率+3%,0,0,0.0,0.0,0.0,0.0,0,6,0,0,0,0.0,None,1.00,0,0,0,0,"Reflex>Reflex>Prism>Prism>Reflex>Reflex>Prism>Wide>Prism>Prism>Reflex>Wide","Reflex:5|Prism:5|Wide:2",0,5658,149760,2955.5,2,1168,249,0.00,20,8,5,0,1,34,Chapter01_01_Test
7,B,14,Win,38.1,0,20,0,5,0,25,2000,350,2000,160,190,0,190,0.00,17250,35098,0,0,19964,112,362,0.03,52348,0,0,0.0,1150,0.24,0.80,Deal,HealthLoss→LaserLengthPercent,生命值-150|激光长度+15%,0,0,0.0,0.0,0.0,0.0,0,6,1,0,0,0.0,None,1.00,0,0,0,0,"Reflex>Reflex>Prism>Prism>Reflex>Reflex>Prism>Wide>Prism>Prism>Reflex>Wide>Wide","Reflex:5|Prism:5|Wide:3",0,3002,50600,1374.1,3,520,110,0.00,0,20,0,6,0,26,Chapter01_01_Test
8,B,16,Win,53.6,12,0,2,6,1,21,1850,160,1490,0,600,0,520,0.27,64854,92978,0,0,56419,289,902,0.06,157832,0,0,0.0,1150,0.24,0.90,Gacha,BaseDamageFlat,激光攻击力+150,0,0,0.0,0.0,0.0,0.0,0,7,1,0,0,0.0,None,1.00,0,0,0,0,"Reflex>Reflex>Prism>Prism>Reflex>Reflex>Prism>Wide>Prism>Prism>Reflex>Wide>Wide>Wide>Wide","Reflex:5|Prism:5|Wide:5",1,13702,156600,2942.6,8,840,180,0.00,12,0,2,7,1,22,Chapter01_01_Test
9,B,17,Win,46.7,24,14,1,4,0,43,1490,0,1450,0,40,0,40,0.16,76232,93785,0,0,63154,289,980,0.02,170017,0,0,0.0,1300,0.24,1.00,Supply,HealthRestore,生命值+250,0,0,0.0,0.0,0.0,0.0,1,7,1,0,0,0.0,None,1.00,0,0,0,0,"Reflex>Reflex>Prism>Prism>Reflex>Reflex>Prism>Wide>Prism>Prism>Reflex>Wide>Wide>Wide>Wide>Power","Reflex:5|Prism:5|Wide:5|Power:1",0,10075,165330,3638.8,2,944,227,0.00,24,14,1,5,0,44,Chapter01_01_Test
10,B,17,Win,63.7,0,24,0,0,0,24,1700,0,1700,0,0,300,0,0.00,0,10920,0,0,4150,19,62,0.12,10920,0,0,0.0,1560,0.24,1.00,None,None,None,0,0,0.0,0.0,0.0,0.0,1,7,1,300,0,10.2,Press,0.00,1,6,3,4,"Reflex>Reflex>Prism>Prism>Reflex>Reflex>Prism>Wide>Prism>Prism>Reflex>Wide>Wide>Wide>Wide>Power","Reflex:5|Prism:5|Wide:5|Power:1",1,1856,0,171.6,1,0,72,0.00,0,0,0,0,0,0,Chapter01_01_Test
