Wave,Build_Type,Player_Level,Result,Time_To_Clear,Kill_Slime,Kill_Rusher,Kill_Tank,Kill_Drifter,Kill_Elite,Kill_Total,HP_Start_Hull,HP_Start_Shield,HP_End_Hull,HP_End_Shield,Dmg_From_Mobs,Dmg_From_Boss,Player_HP_Lost,Tank_Absorbed_Ratio,Dmg_Main_Laser,Dmg_Sub_Laser,Dmg_Explosion,Dmg_Chain,Crit_Damage_Total,Crit_Hit_Count,Normal_Hit_Count,Overkill_Ratio,Dmg_Dealt_Total,Frost_Slow_Count,Frost_Freeze_Count,Frost_Slow_Duration,Panel_DPS,Panel_Crit_Rate,Panel_Laser_Width,Drone_Choice,Drone_Reward_Type,Drone_Reward_Value,Drone_Acc_Health,Drone_Acc_Shield,Drone_Acc_Damage_Pct,Drone_Acc_Crit_Pct,Drone_Acc_Laser_Width,Drone_Acc_Laser_Length,Drone_Count_Supply,Drone_Count_Gacha,Drone_Count_Deal,Boss_Dmg_Collision,Boss_Dmg_Bullet,Boss_Pushback_Time,Boss_Phase,Boss_HP_Remaining,Boss_Charge_Count,Boss_Press_Count,Boss_Summon_Count,Boss_Stun_Count,Skill_Path,Skill_Levels,Overload_Count,DPS_Peak,Enemy_Total_HP,Effective_DPS,Player_Hit_Count,Exp_Gained,Gold_Gained,Time_In_Danger,Spawn_Slime,Spawn_Rusher,Spawn_Tank,Spawn_Drifter,Spawn_Elite,Spawn_Total,Wave_Config_Id
1,Mix,3,Win,39.0,19,0,0,0,0,19,2000,1000,2000,1000,0,0,0,0.00,21000,0,0,0,4240,20,159,0.05,21000,0,0,0.0,1000,0.10,0.50,Gacha_Negative,BaseDamageLossPercent,激光攻击力-5%,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0.0,None,1.00,0,0,0,0,"Wide>Power","Wide:1|Power:1",0,1800,20000,538.2,0,380,95,0.00,20,0,0,0,0,20,Chapter01_01_Test
2,Mix,5,Win,52.5,15,0,2,0,0,17,2000,1000,2000,1000,0,0,0,0.59,44785,0,0,0,9180,32,246,0.04,44785,0,0,0.0,1150,0.10,0.60,Gacha,LaserLengthPercent,激光长度+10%,0,0,0.0,0.0,0.0,0.0,0,2,0,0,0,0.0,None,1.00,0,0,0,0,"Wide>Power>Focus>Reflex","Wide:1|Power:1|Focus:1|Reflex:1",0,1800,42900,852.5,0,460,125,0.00,15,0,3,0,0,18,Chapter01_01_Test
3,Mix,8,Win,48.0,15,24,1,0,0,40,2000,1000,2000,1000,0,0,0,0.22,43603,0,0,0,9378,27,214,0.08,43603,1,0,6.0,1500,0.10,0.60,Gacha,LaserLengthPercent,激光长度+10%,0,0,0.0,0.0,0.0,0.0,0,3,0,0,0,0.0,None,1.00,0,0,0,0,"Wide>Power>Focus>Reflex>Power>Crit>Frost","Wide:1|Power:2|Focus:1|Reflex:1|Crit:1|Frost:1",0,2287,40320,909.0,0,744,172,0.00,16,24,1,0,0,41,Chapter01_01_Test
4,Mix,9,Win,79.4,16,6,1,5,0,28,2000,1000,2000,980,20,0,20,0.18,57609,0,0,0,15534,43,254,0.07,57609,78,0,334.0,1700,0.13,0.60,Gacha_Coin,CoinReward,金币+100,0,0,0.0,0.0,0.0,0.0,0,4,0,0,0,0.0,None,1.00,0,0,0,0,"Wide>Power>Focus>Reflex>Power>Crit>Frost>FrostSpread","Wide:1|Power:2|Focus:1|Reflex:1|Crit:1|Frost:1|FrostSpread:1",0,2091,53820,725.2,1,696,173,0.00,16,6,1,6,0,29,Chapter01_01_Test
5,Mix,11,Win,33.2,40,12,0,0,0,52,2000,980,2000,610,370,0,370,0.00,61768,0,0,0,12558,29,236,0.07,61768,93,0,1198.0,1700,0.13,0.60,Gacha_Epic,LaserLengthPercent,激光长度+20%,0,0,0.0,0.0,0.0,0.0,0,5,0,0,0,0.0,None,1.00,0,0,0,0,"Wide>Power>Focus>Reflex>Power>Crit>Frost>FrostSpread>Power>Crit","Wide:1|Power:3|Focus:1|Reflex:1|Crit:2|Frost:1|FrostSpread:1",1,4237,67800,1861.3,13,976,236,0.00,40,13,0,0,0,53,Chapter01_01_Test
6,Mix,14,Win,61.2,20,8,4,0,1,33,2000,610,2000,560,50,0,50,0.71,154297,0,0,0,46235,83,454,0.04,154297,64,0,948.0,1900,0.16,0.60,Gacha_Negative,NextWaveSpeedBuff,下一波怪物速度+30%,0,0,0.0,0.0,0.0,0.0,0,6,0,0,0,0.0,None,1.00,0,0,0,0,"Wide>Power>Focus>Reflex>Power>Crit>Frost>FrostSpread>Power>Crit>Shatter>Shatter>Shatter","Wide:1|Power:3|Focus:1|Reflex:1|Crit:2|Frost:1|FrostSpread:1|Shatter:3",0,3962,149760,2520.3,2,1248,249,0.00,20,8,5,0,1,34,Chapter01_01_Test
7,Mix,14,Win,41.9,0,20,0,5,0,25,2000,560,2000,560,0,0,0,0.00,58788,0,0,0,21282,32,139,0.13,58788,60,0,210.0,1900,0.16,0.60,Gacha,CritRatePercent,激光暴击率+3%,0,0,0.0,0.0,0.0,0.0,0,7,0,0,0,0.0,None,1.00,0,0,0,0,"Wide>Power>Focus>Reflex>Power>Crit>Frost>FrostSpread>Power>Crit>Shatter>Shatter>Shatter","Wide:1|Power:3|Focus:1|Reflex:1|Crit:2|Frost:1|FrostSpread:1|Shatter:3",0,3673,50600,1402.5,0,520,110,0.00,0,20,0,6,0,26,Chapter01_01_Test
8,Mix,16,Win,59.0,12,0,2,6,1,21,2000,560,2000,560,0,0,0,0.27,162086,0,0,179,40958,49,335,0.03,162265,98,0,601.0,2100,0.19,0.60,Gacha_Negative,NextWaveDamageBuff,下一波怪物伤害+25%,0,0,0.0,0.0,0.0,0.0,0,8,0,0,0,0.0,None,1.00,0,0,0,0,"Wide>Power>Focus>Reflex>Power>Crit>Frost>FrostSpread>Power>Crit>Shatter>Shatter>Shatter>Power>Chain","Wide:1|Power:4|Focus:1|Reflex:1|Crit:2|Frost:1|FrostSpread:1|Shatter:3|Chain:1",1,8996,156600,2752.2,0,840,180,0.00,12,0,2,7,1,22,Chapter01_01_Test
9,A,17,Win,61.3,24,14,1,4,0,43,2000,560,1860,0,710,0,700,0.17,155703,0,0,2436,46368,66,396,0.17,158139,113,0,475.0,2100,0.19,0.60,Gacha_Coin,CoinReward,金币+100,0,0,0.0,0.0,0.0,0.0,0,9,0,0,0,0.0,None,1.00,0,0,0,0,"Wide>Power>Focus>Reflex>Power>Crit>Frost>FrostSpread>Power>Crit>Shatter>Shatter>Shatter>Power>Chain>Impact","Wide:1|Power:4|Focus:1|Reflex:1|Crit:2|Frost:1|FrostSpread:1|Shatter:3|Chain:1|Impact:1",0,32868,165330,2579.4,27,944,227,0.00,24,14,1,5,0,44,Chapter01_01_Test
10,A,17,Loss,162.8,0,71,0,0,0,71,1860,0,0,0,0,2700,1860,0.00,52643,0,0,250,12461,16,132,0.45,52893,100,0,1015.5,2100,0.19,0.60,None,None,None,0,0,0.0,0.0,0.0,0.0,0,9,0,2700,0,35.0,Charge,0.15,9,6,9,5,"Wide>Power>Focus>Reflex>Power>Crit>Frost>FrostSpread>Power>Crit>Shatter>Shatter>Shatter>Power>Chain>Impact","Wide:1|Power:4|Focus:1|Reflex:1|Crit:2|Frost:1|FrostSpread:1|Shatter:3|Chain:1|Impact:1",2,3142,0,324.8,9,0,213,24.71,0,0,0,0,0,0,Chapter01_01_Test
