Wave,Build_Type,Player_Level,Result,Time_To_Clear,Kill_Slime,Kill_Rusher,Kill_Tank,Kill_Drifter,Kill_Elite,Kill_Total,HP_Start_Hull,HP_Start_Shield,HP_End_Hull,HP_End_Shield,Dmg_From_Mobs,Shield_Dmg_From_Mobs,Dmg_From_Boss,Player_HP_Lost,Tank_Absorbed_Ratio,Dmg_Main_Laser,Dmg_Sub_Laser,Dmg_Explosion,Dmg_Chain,Crit_Damage_Total,Crit_Hit_Count,Normal_Hit_Count,Overkill_Ratio,Dmg_Dealt_Total,Frost_Slow_Count,Frost_Freeze_Count,Frost_Slow_Duration,Panel_DPS,Panel_Crit_Rate,Panel_Laser_Width,Drone_Choice,Drone_Reward_Type,Drone_Reward_Value,Drone_Acc_Health,Drone_Acc_Shield,Drone_Acc_Damage_Pct,Drone_Acc_Crit_Pct,Drone_Acc_Laser_Width,Drone_Acc_Laser_Length,Drone_Count_Supply,Drone_Count_Gacha,Drone_Count_Deal,Boss_Dmg_Collision,Boss_Dmg_Bullet,Boss_Pushback_Time,Boss_Phase,Boss_HP_Remaining,Boss_Charge_Count,Boss_Press_Count,Boss_Summon_Count,Boss_Stun_Count,Skill_Path,Skill_Levels,Overload_Count,DPS_Peak,Enemy_Total_HP,Effective_DPS,Player_Hit_Count,Exp_Gained,Gold_Gained,Time_In_Danger,Spawn_Slime,Spawn_Rusher,Spawn_Tank,Spawn_Drifter,Spawn_Elite,Spawn_Total,Wave_Config_Id
1,Mix,3,Win,40.7,19,0,0,0,0,19,2000,1000,2000,1000,0,0,0,0,0.00,20440,0,0,0,4500,21,148,0.02,20440,0,0,0.0,1000,0.10,0.50,Deal,HealthLoss→LaserWidthPercent,生命值-80|激光宽度+8%,0,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,None,1.00,0,0,0,0,"Impact>Focus","Impact:1|Focus:1",0,1300,20000,502.2,0,380,95,0.00,20,0,0,0,0,20,Chapter01_01_Test
2,Mix,5,Win,54.6,15,0,2,0,0,17,1920,1000,1920,1000,0,0,0,0,0.60,44555,0,0,0,8720,29,235,0.04,44555,0,0,0.0,1300,0.10,0.54,Deal,HealthLoss→CritRatePercent,生命值-80|激光暴击率+4%,0,0,0.0,0.0,0.0,0.0,0,0,2,0,0,0.0,None,1.00,0,0,0,0,"Impact>Focus>Focus>Focus","Impact:1|Focus:3",0,2595,42900,815.4,0,460,125,0.00,15,0,3,0,0,18,Chapter01_01_Test
3,A,8,Win,45.7,15,24,1,0,0,40,1840,1000,1840,1000,0,0,0,0,0.20,47709,0,0,0,12583,28,165,0.15,47709,0,0,0.0,1800,0.14,0.54,Deal,HealthLoss→BaseDamagePercent,生命值-80|激光攻击力+12%,0,0,0.0,0.0,0.0,0.0,0,0,3,0,0,0.0,None,1.00,0,0,0,0,"Impact>Focus>Focus>Focus>Focus>Crit>Impact","Impact:2|Focus:4|Crit:1",0,3003,40320,1044.6,0,744,172,0.00,16,24,1,0,0,41,Chapter01_01_Test
4,A,9,Win,55.5,16,6,1,5,0,28,1760,1000,1760,850,150,0,0,150,0.18,58325,0,0,0,15273,31,189,0.08,58325,0,0,0.0,2320,0.13,0.54,Deal,HealthLoss→BaseDamagePercent,生命值-150|激光攻击力+18%,0,0,0.0,0.0,0.0,0.0,0,0,4,0,0,0.0,None,1.00,0,0,0,0,"Impact>Focus>Focus>Focus>Focus>Crit>Impact>Impact","Impact:3|Focus:4|Crit:1",0,4174,53820,1050.2,1,696,173,0.00,16,6,1,6,0,29,Chapter01_01_Test
5,A,11,Win,31.6,40,12,0,0,0,52,1610,850,1610,850,0,0,0,0,0.00,75477,0,0,0,28020,53,204,0.10,75477,0,0,0.0,2500,0.13,0.54,Deal,HealthLoss→LaserLengthPercent,生命值-150|激光长度+15%,0,0,0.0,0.0,0.0,0.0,0,0,5,0,0,0.0,None,1.00,0,0,0,0,"Impact>Focus>Focus>Focus>Focus>Crit>Impact>Impact>Focus>Crit","Impact:3|Focus:5|Crit:2",0,7460,67800,2390.2,0,944,236,0.00,40,13,0,0,0,53,Chapter01_01_Test
6,A,14,Win,65.3,20,8,4,0,1,33,1460,850,1460,850,0,0,0,0,0.71,153248,0,0,0,48212,86,436,0.02,153248,0,0,0.0,2500,0.16,0.54,Deal,ShieldLoss→CritRatePercent,护盾值-100|激光暴击率+5%,0,0,0.0,0.0,0.0,0.0,0,0,6,0,0,0.0,None,1.00,0,0,0,0,"Impact>Focus>Focus>Focus>Focus>Crit>Impact>Impact>Focus>Crit>Impact>Impact>Crit","Impact:5|Focus:5|Crit:3",0,7843,149760,2346.6,0,1248,249,0.00,20,8,5,0,1,34,Chapter01_01_Test
7,A,14,Win,35.4,0,20,0,5,0,25,1460,750,1460,750,0,0,0,0,0.00,57081,0,0,0,26031,43,125,0.11,57081,0,0,0.0,2500,0.24,0.54,Deal,HealthLoss→BaseDamagePercent,生命值-80|激光攻击力+12%,0,0,0.0,0.0,0.0,0.0,0,0,7,0,0,0.0,None,1.00,0,0,0,0,"Impact>Focus>Focus>Focus>Focus>Crit>Impact>Impact>Focus>Crit>Impact>Impact>Crit","Impact:5|Focus:5|Crit:3",0,3450,50600,1613.8,0,520,110,0.00,0,20,0,6,0,26,Chapter01_01_Test
8,A,16,Win,48.4,12,0,2,6,1,21,1380,750,1380,450,300,0,0,300,0.28,157224,0,0,0,67995,85,269,0.05,157224,0,0,0.0,2820,0.24,0.54,Deal,HealthLoss→LaserWidthPercent,生命值-80|激光宽度+8%,0,0,0.0,0.0,0.0,0.0,0,0,8,0,0,0.0,None,1.00,0,0,0,0,"Impact>Focus>Focus>Focus>Focus>Crit>Impact>Impact>Focus>Crit>Impact>Impact>Crit>Power>Crit","Impact:5|Focus:5|Crit:4|Power:1",1,12105,156600,3251.0,2,840,180,0.00,12,0,2,7,1,22,Chapter01_01_Test
9,A,17,Win,58.9,24,14,1,4,0,43,1300,450,1060,0,690,0,0,690,0.17,153459,0,0,0,66045,88,286,0.08,153459,0,0,0.0,2820,0.22,0.58,Supply,HealthRestore,生命值+150,0,0,0.0,0.0,0.0,0.0,1,0,8,0,0,0.0,None,1.00,0,0,0,0,"Impact>Focus>Focus>Focus>Focus>Crit>Impact>Impact>Focus>Crit>Impact>Impact>Crit>Power>Crit>Crit","Impact:5|Focus:5|Crit:5|Power:1",0,16936,165330,2607.5,21,944,227,0.00,24,14,1,5,0,44,Chapter01_01_Test
10,A,17,Win,24.2,0,8,0,0,0,8,1210,0,960,0,0,0,250,250,0.00,4421,0,0,0,662,1,14,0.28,4421,0,0,0.0,2820,0.25,0.58,None,None,None,0,0,0.0,0.0,0.0,0.0,1,0,8,250,0,1.5,Charge,0.00,2,1,1,1,"Impact>Focus>Focus>Focus>Focus>Crit>Impact>Impact>Focus>Crit>Impact>Impact>Crit>Power>Crit>Crit","Impact:5|Focus:5|Crit:5|Power:1",1,2222,0,182.7,1,0,24,0.00,0,0,0,0,0,0,Chapter01_01_Test
