Wave,Build_Type,Player_Level,Result,Time_To_Clear,Kill_Slime,Kill_Rusher,Kill_Tank,Kill_Drifter,Kill_Elite,Kill_Total,HP_Start_Hull,HP_Start_Shield,HP_End_Hull,HP_End_Shield,Dmg_From_Mobs,Shield_Dmg_From_Mobs,Dmg_From_Boss,Player_HP_Lost,Tank_Absorbed_Ratio,Dmg_Main_Laser,Dmg_Sub_Laser,Dmg_Explosion,Dmg_Chain,Crit_Damage_Total,Crit_Hit_Count,Normal_Hit_Count,Overkill_Ratio,Dmg_Dealt_Total,Frost_Slow_Count,Frost_Freeze_Count,Frost_Slow_Duration,Panel_DPS,Panel_Crit_Rate,Panel_Laser_Width,Drone_Choice,Drone_Reward_Type,Drone_Reward_Value,Drone_Acc_Health,Drone_Acc_Shield,Drone_Acc_Damage_Pct,Drone_Acc_Crit_Pct,Drone_Acc_Laser_Width,Drone_Acc_Laser_Length,Drone_Count_Supply,Drone_Count_Gacha,Drone_Count_Deal,Boss_Dmg_Collision,Boss_Dmg_Bullet,Boss_Pushback_Time,Boss_Phase,Boss_HP_Remaining,Boss_Charge_Count,Boss_Press_Count,Boss_Summon_Count,Boss_Stun_Count,Skill_Path,Skill_Levels,Overload_Count,DPS_Peak,Enemy_Total_HP,Effective_DPS,Player_Hit_Count,Exp_Gained,Gold_Gained,Time_In_Danger,Spawn_Slime,Spawn_Rusher,Spawn_Tank,Spawn_Drifter,Spawn_Elite,Spawn_Total,Wave_Config_Id,Boss_Dmg_Dealt,Wave_Diff_Mult
1,Mix,3,Win,42.5,19,0,0,0,0,19,2000,1000,2000,1000,0,0,0,0,0.00,20240,0,0,340,3000,15,237,0.01,20580,0,0,0.0,1000,0.10,0.50,Deal,ShieldLoss→BaseDamagePercent,护盾值-100|激光攻击力+15%,0,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,None,1.00,0,0,0,0,"Chain>Chain","Chain:2",0,1260,20000,484.1,0,380,95,0.00,20,0,0,0,0,20,Chapter01_01_Test,0,1.00
2,Mix,5,Win,55.6,15,0,2,0,0,17,2000,900,2000,900,0,0,0,0,0.59,43869,0,0,1204,6900,30,527,0.02,45073,0,0,0.0,1150,0.10,0.50,Deal,ShieldLoss→BaseDamagePercent,护盾值-100|激光攻击力+15%,0,0,0.0,0.0,0.0,0.0,0,0,2,0,0,0.0,None,1.00,0,0,0,0,"Chain>Chain>Chain>Prism","Chain:3|Prism:1",0,2303,42900,810.0,0,460,125,0.00,15,0,3,0,0,18,Chapter01_01_Test,0,1.00
3,Mix,8,Win,47.8,15,24,1,0,0,40,2000,800,2000,800,0,0,0,0,0.21,41182,1931,0,1792,8086,32,556,0.06,44905,0,0,0.0,1300,0.10,0.50,Deal,HealthLoss→CritRatePercent,生命值-80|激光暴击率+4%,0,0,0.0,0.0,0.0,0.0,0,0,3,0,0,0.0,None,1.00,0,0,0,0,"Chain>Chain>Chain>Prism>Prism>Chain>Prism","Chain:4|Prism:3",0,2426,40320,939.9,0,764,172,0.00,16,24,1,0,0,41,Chapter01_01_Test,0,1.00
4,Mix,9,Win,60.0,16,6,1,5,0,28,1920,800,1920,630,170,170,0,170,0.18,49732,5577,0,3452,12467,52,908,0.03,58761,0,0,0.0,1300,0.14,0.50,Deal,ShieldLoss→BaseDamagePercent,护盾值-100|激光攻击力+15%,0,0,0.0,0.0,0.0,0.0,0,0,4,0,0,0.0,None,1.00,0,0,0,0,"Chain>Chain>Chain>Prism>Prism>Chain>Prism>Chain","Chain:5|Prism:3",0,2734,53820,979.5,2,696,173,0.00,16,6,1,6,0,29,Chapter01_01_Test,0,1.00
5,Mix,11,Win,33.3,40,12,0,0,0,52,1920,530,1920,530,0,0,0,0,0.00,47481,25614,0,4126,12847,46,1011,0.07,77221,0,0,0.0,1450,0.14,0.50,Deal,HealthLoss→LaserWidthPercent,生命值-80|激光宽度+8%,0,0,0.0,0.0,0.0,0.0,0,0,5,0,0,0.0,None,1.00,0,0,0,0,"Chain>Chain>Chain>Prism>Prism>Chain>Prism>Chain>Prism>Prism","Chain:5|Prism:5",1,7839,67800,2318.2,0,992,236,0.00,40,13,0,0,0,53,Chapter01_01_Test,0,1.00
6,B,14,Win,71.2,20,8,4,0,1,33,1840,530,1840,530,0,0,0,0,0.71,101575,51223,0,10205,38022,151,2525,0.02,163002,0,0,0.0,1450,0.14,0.54,Deal,HealthLoss→BaseDamageFlat,生命值-150|激光攻击力+300,0,0,0.0,0.0,0.0,0.0,0,0,6,0,0,0.0,None,1.00,0,0,0,0,"Chain>Chain>Chain>Prism>Prism>Chain>Prism>Chain>Prism>Prism>Wide>Wide>Power","Chain:5|Prism:5|Wide:2|Power:1",0,4942,149760,2290.4,0,1248,249,0.00,20,8,5,0,1,34,Chapter01_01_Test,0,1.00
7,B,14,Win,47.8,0,20,0,5,0,25,1690,530,1690,510,20,20,0,20,0.00,36265,16817,0,853,11950,44,415,0.04,53935,0,0,0.0,1560,0.14,0.70,Deal,HealthLoss→LaserLengthPercent,生命值-150|激光长度+15%,0,0,0.0,0.0,0.0,0.0,0,0,7,0,0,0.0,None,1.00,0,0,0,0,"Chain>Chain>Chain>Prism>Prism>Chain>Prism>Chain>Prism>Prism>Wide>Wide>Power","Chain:5|Prism:5|Wide:2|Power:1",0,4031,50600,1129.5,1,520,110,0.00,0,20,0,6,0,26,Chapter01_01_Test,0,1.00
8,B,16,Win,51.7,12,0,2,6,1,21,1540,510,1540,60,450,450,0,450,0.29,86562,65847,0,8717,37440,120,1802,0.01,161128,0,0,0.0,1560,0.14,0.80,Deal,HealthLoss→BaseDamagePercent,生命值-80|激光攻击力+12%,0,0,0.0,0.0,0.0,0.0,0,0,8,0,0,0.0,None,1.00,0,0,0,0,"Chain>Chain>Chain>Prism>Prism>Chain>Prism>Chain>Prism>Prism>Wide>Wide>Power>Wide>Wide","Chain:5|Prism:5|Wide:4|Power:1",1,12468,156600,3118.7,3,840,180,0.00,12,0,2,7,1,22,Chapter01_01_Test,0,1.00
9,B,17,Win,60.4,24,14,1,4,0,43,1460,60,1250,0,270,60,0,270,0.13,125642,78438,0,7006,37272,135,1748,0.21,211086,0,0,0.0,1716,0.14,0.90,Deal,HealthLoss→BaseDamagePercent,生命值-80|激光攻击力+12%,0,0,0.0,0.0,0.0,0.0,0,0,9,0,0,0.0,None,1.00,0,0,0,0,"Chain>Chain>Chain>Prism>Prism>Chain>Prism>Chain>Prism>Prism>Wide>Wide>Power>Wide>Wide>Wide","Chain:5|Prism:5|Wide:5|Power:1",0,56890,165330,3494.2,6,944,227,0.00,24,14,1,5,0,44,Chapter01_01_Test,0,1.00
10,B,17,Win,23.0,0,0,0,0,0,0,1170,0,1170,0,0,0,250,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0.0,1872,0.14,1.00,None,None,None,0,0,0.0,0.0,0.0,0.0,0,0,9,250,0,1.5,Summon,0.00,1,1,1,1,"Chain>Chain>Chain>Prism>Prism>Chain>Prism>Chain>Prism>Prism>Wide>Wide>Power>Wide>Wide>Wide","Chain:5|Prism:5|Wide:5|Power:1",1,0,0,0.0,1,0,0,0.00,0,0,0,0,0,0,Chapter01_01_Test,120107,1.00
