Wave,Build_Type,Player_Level,Result,Time_To_Clear,Kill_Slime,Kill_Rusher,Kill_Tank,Kill_Drifter,Kill_Elite,Kill_Total,HP_Start_Hull,HP_Start_Shield,HP_End_Hull,HP_End_Shield,Dmg_From_Mobs,Shield_Dmg_From_Mobs,Dmg_From_Boss,Player_HP_Lost,Tank_Absorbed_Ratio,Dmg_Main_Laser,Dmg_Sub_Laser,Dmg_Explosion,Dmg_Chain,Crit_Damage_Total,Crit_Hit_Count,Normal_Hit_Count,Overkill_Ratio,Dmg_Dealt_Total,Frost_Slow_Count,Frost_Freeze_Count,Frost_Slow_Duration,Panel_DPS,Panel_Crit_Rate,Panel_Laser_Width,Drone_Choice,Drone_Reward_Type,Drone_Reward_Value,Drone_Acc_Health,Drone_Acc_Shield,Drone_Acc_Damage_Pct,Drone_Acc_Crit_Pct,Drone_Acc_Laser_Width,Drone_Acc_Laser_Length,Drone_Count_Supply,Drone_Count_Gacha,Drone_Count_Deal,Boss_Dmg_Collision,Boss_Dmg_Bullet,Boss_Pushback_Time,Boss_Phase,Boss_HP_Remaining,Boss_Charge_Count,Boss_Press_Count,Boss_Summon_Count,Boss_Stun_Count,Skill_Path,Skill_Levels,Overload_Count,DPS_Peak,Enemy_Total_HP,Effective_DPS,Player_Hit_Count,Exp_Gained,Gold_Gained,Time_In_Danger,Spawn_Slime,Spawn_Rusher,Spawn_Tank,Spawn_Drifter,Spawn_Elite,Spawn_Total,Wave_Config_Id,Boss_Dmg_Dealt,Wave_Diff_Mult
1,Mix,3,Win,56.0,0,0,0,0,0,0,2000,1000,2000,700,300,300,0,300,0.00,54260,0,0,0,13360,62,409,0.03,54260,0,0,0.0,1000,0.10,0.50,Deal,HealthLoss→BaseDamagePercent,生命值-80|激光攻击力+12%,0,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,None,1.00,0,0,0,0,"Crit>Crit","Crit:2",0,2760,8250,968.4,10,473,220,0.00,0,0,0,0,0,0,Chapter02_01,0,1.00
2,A,5,Win,55.2,0,0,0,0,0,0,1920,700,1920,290,410,410,0,410,0.00,49913,0,0,0,14697,39,214,0.07,49913,0,0,0.0,1420,0.16,0.50,Deal,ShieldLoss→CritRatePercent,护盾值-100|激光暴击率+5%,0,0,0.0,0.0,0.0,0.0,0,0,2,0,0,0.0,None,1.00,0,0,0,0,"Crit>Crit>Focus>Impact","Crit:2|Focus:1|Impact:1",1,3209,11800,904.3,13,491,222,0.00,0,0,0,0,0,0,Chapter02_01,0,1.00
3,A,7,Win,60.4,0,0,0,0,0,0,1920,190,1740,0,390,190,0,370,0.00,100846,0,360,0,28589,87,303,0.30,101206,0,0,0.0,1420,0.21,0.50,Supply,HealthRestore,生命值+150,0,0,0.0,0.0,0.0,0.0,1,0,2,0,0,0.0,None,1.00,0,0,0,0,"Crit>Crit>Focus>Impact>Impact>Focus","Crit:2|Focus:2|Impact:2",0,30849,33280,1674.4,13,579,268,0.00,0,0,0,0,0,0,Chapter02_01,0,1.00
4,A,9,Win,95.6,0,0,0,0,0,0,1890,0,1830,0,60,0,0,60,0.00,91820,0,360,0,32820,85,360,0.07,92180,0,0,0.0,1500,0.21,0.50,Deal,HealthLoss→LaserLengthPercent,生命值-150|激光长度+15%,0,0,0.0,0.0,0.0,0.0,1,0,3,0,0,0.0,None,1.00,0,0,0,0,"Crit>Crit>Focus>Impact>Impact>Focus>Focus>Focus","Crit:2|Focus:4|Impact:2",0,5759,37290,963.8,2,615,288,0.00,0,0,0,0,0,0,Chapter02_01,0,1.00
5,A,10,Win,58.2,0,0,0,0,0,0,1680,0,1590,0,90,0,0,90,0.00,113083,0,240,0,42293,85,342,0.10,113323,0,0,0.0,2200,0.21,0.50,Deal,HealthLoss→BaseDamagePercent,生命值-80|激光攻击力+12%,0,0,0.0,0.0,0.0,0.0,1,0,4,0,0,0.0,None,1.00,0,0,0,0,"Crit>Crit>Focus>Impact>Impact>Focus>Focus>Focus>Crit","Crit:3|Focus:4|Impact:2",0,7036,42314,1946.3,3,737,334,0.00,0,0,0,0,0,0,Chapter02_01,0,1.00
6,A,12,Win,62.7,0,0,0,0,0,0,1510,0,1510,0,0,0,0,0,0.00,122701,0,720,0,42457,75,354,0.07,123421,0,0,0.0,2320,0.19,0.50,Supply,HealthRestore,生命值+250,0,0,0.0,0.0,0.0,0.0,2,0,4,0,0,0.0,None,1.00,0,0,0,0,"Crit>Crit>Focus>Impact>Impact>Focus>Focus>Focus>Crit>Focus>Crit","Crit:4|Focus:5|Impact:2",0,8136,60720,1968.9,0,738,301,0.00,0,0,0,0,0,0,Chapter02_01,0,1.00
7,A,13,Win,64.0,0,0,0,0,0,0,1760,0,1760,0,0,0,0,0,0.00,151930,0,720,0,61577,107,416,0.07,152650,87,0,350.0,2500,0.22,0.50,Supply,HealthRestore,生命值+150,0,0,0.0,0.0,0.0,0.0,3,0,4,0,0,0.0,None,1.00,0,0,0,0,"Crit>Crit>Focus>Impact>Impact>Focus>Focus>Focus>Crit>Focus>Crit>Frost","Crit:4|Focus:5|Impact:2|Frost:1",0,8699,85005,2384.0,0,879,317,0.00,0,0,0,0,0,0,Chapter02_01,0,1.00
8,A,15,Win,61.5,0,0,0,0,0,0,1910,0,1760,0,150,0,0,150,0.00,193680,0,360,0,95261,155,435,0.09,194040,158,0,587.0,2500,0.22,0.50,Supply,HealthRestore,生命值+150,0,0,0.0,0.0,0.0,0.0,4,0,4,0,0,0.0,None,1.00,0,0,0,0,"Crit>Crit>Focus>Impact>Impact>Focus>Focus>Focus>Crit>Focus>Crit>Frost>Impact>Crit","Crit:5|Focus:5|Impact:3|Frost:1",0,11947,81640,3157.0,5,1320,454,0.00,0,0,0,0,0,0,Chapter02_01,0,1.00
9,A,18,Win,65.1,0,0,0,0,0,0,1910,0,1270,0,640,0,0,640,0.00,287207,0,720,0,130858,182,605,0.09,287927,215,0,1055.0,2500,0.25,0.50,Supply,HealthRestore,生命值+150,0,0,0.0,0.0,0.0,0.0,5,0,4,0,0,0.0,None,1.00,0,0,0,0,"Crit>Crit>Focus>Impact>Impact>Focus>Focus>Focus>Crit>Focus>Crit>Frost>Impact>Crit>Impact>FrostSpread>Impact","Crit:5|Focus:5|Impact:5|Frost:1|FrostSpread:1",1,27927,121240,4424.8,21,1697,667,0.00,0,0,0,0,0,0,Chapter02_01,0,1.00
10,A,18,Loss,56.0,0,0,0,0,0,0,1420,0,0,0,0,0,1500,1420,0.00,16482,0,0,0,9730,14,28,0.15,16482,34,0,180.0,2500,0.25,0.50,None,None,None,0,0,0.0,0.0,0.0,0.0,5,0,4,1500,0,0.0,Charge,0.37,6,0,3,0,"Crit>Crit>Focus>Impact>Impact>Focus>Focus>Focus>Crit>Focus>Crit>Frost>Impact>Crit>Impact>FrostSpread>Impact","Crit:5|Focus:5|Impact:5|Frost:1|FrostSpread:1",0,2603,0,294.3,6,0,35,10.14,0,0,0,0,0,0,Chapter02_01,125020,1.00
