Wave,Build_Type,Player_Level,Result,Time_To_Clear,Kill_Slime,Kill_Rusher,Kill_Tank,Kill_Drifter,Kill_Elite,Kill_Total,HP_Start_Hull,HP_Start_Shield,HP_End_Hull,HP_End_Shield,Dmg_From_Mobs,Shield_Dmg_From_Mobs,Dmg_From_Boss,Player_HP_Lost,Tank_Absorbed_Ratio,Dmg_Main_Laser,Dmg_Sub_Laser,Dmg_Explosion,Dmg_Chain,Crit_Damage_Total,Crit_Hit_Count,Normal_Hit_Count,Overkill_Ratio,Dmg_Dealt_Total,Frost_Slow_Count,Frost_Freeze_Count,Frost_Slow_Duration,Panel_DPS,Panel_Crit_Rate,Panel_Laser_Width,Drone_Choice,Drone_Reward_Type,Drone_Reward_Value,Drone_Acc_Health,Drone_Acc_Shield,Drone_Acc_Damage_Pct,Drone_Acc_Crit_Pct,Drone_Acc_Laser_Width,Drone_Acc_Laser_Length,Drone_Count_Supply,Drone_Count_Gacha,Drone_Count_Deal,Boss_Dmg_Collision,Boss_Dmg_Bullet,Boss_Pushback_Time,Boss_Phase,Boss_HP_Remaining,Boss_Charge_Count,Boss_Press_Count,Boss_Summon_Count,Boss_Stun_Count,Skill_Path,Skill_Levels,Overload_Count,DPS_Peak,Enemy_Total_HP,Effective_DPS,Player_Hit_Count,Exp_Gained,Gold_Gained,Time_In_Danger,Spawn_Slime,Spawn_Rusher,Spawn_Tank,Spawn_Drifter,Spawn_Elite,Spawn_Total,Wave_Config_Id,Boss_Dmg_Dealt,Wave_Diff_Mult,Kill_LavaExploder,Kill_LavaSplitter,Kill_LavaGunner,Kill_LavaTank,Kill_LavaElite,Spawn_LavaExploder,Spawn_LavaSplitter,Spawn_LavaGunner,Spawn_LavaTank,Spawn_LavaElite,Spawn_LavaPuddle,Exploder_Death_Count,Exploder_AoE_Dmg_To_Player,Splitter_Death_Count,Splitter_Children_Spawned,Gunner_Bullet_Dmg_To_Player,Dmg_From_Mob_Explosion,Boss_Absorption_Count,Boss_Heal_Total,Gunner_Shots_Fired,Boss_Fireball_Hit_Count,Boss_Fireball_Burst_Count,Boss_Fireball_Intercepted_Count,Puddle_Peak_Count,Kill_FrostSlime,Kill_FrostTank,Kill_FrostCatalyst,Kill_Frostcaster,Kill_IceShieldGuard,Kill_FrostcasterElite,Kill_FrostGunner,Spawn_FrostSlime,Spawn_FrostTank,Spawn_FrostCatalyst,Spawn_Frostcaster,Spawn_IceShieldGuard,Spawn_FrostcasterElite,Spawn_FrostGunner,Spawn_IceWall,IceShield_Broken_Count,IceShield_Dmg_Absorbed,Catalyst_Burst_Count,Catalyst_Burst_Affected_Count,IceWall_Accelerated_Count,Frostcaster_Cast_Count,Frostcaster_Walls_Per_Cast_Total,IceWall_Hatch_Count,Monster_Berserk_Applied_Count,IceWall_Peak_Count,Tower_Freeze_Count,Tower_Freeze_Duration,IceSpike_Intercepted_Count,IceSpike_Hit_Count,Glacial_IceWall_Build_Count,Glacial_FreezeRay_Count,Glacial_Charge_Count,Glacial_AbsZero_Count,Glacial_AbsZero_Interrupted
1,Mix,3,Win,52.3,0,0,0,0,0,11,2000,1000,2000,550,450,450,0,450,0.00,45530,0,0,0,8680,35,296,0.03,45530,0,0,0.0,1000,0.10,0.50,Deal,HealthLoss→BaseDamagePercent,生命值-80|激光攻击力+12%,0,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,None,1.00,0,0,0,0,"Focus>Focus","Focus:2",0,2595,8250,871.3,15,462,220,0.00,0,0,0,0,0,11,Chapter02_01,0,1.00,0,11,0,0,0,0,11,0,0,0,0,0,0,11,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
2,Mix,6,Win,49.9,0,0,0,0,0,16,1920,550,1920,550,0,0,0,0,0.00,73210,0,0,0,15594,35,254,0.10,73210,0,0,0.0,1920,0.10,0.50,Deal,HealthLoss→BaseDamagePercent,生命值-150|激光攻击力+18%,0,0,0.0,0.0,0.0,0.0,0,0,2,0,0,0.0,None,1.00,0,0,0,0,"Focus>Focus>Focus>Focus>Impact","Focus:4|Impact:1",1,6584,11800,1467.6,0,535,252,0.00,0,0,0,0,0,16,Chapter02_01,0,1.00,4,12,0,0,0,4,12,0,0,0,4,4,0,12,36,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
3,Mix,7,Win,54.4,0,0,0,0,0,18,1770,550,1770,550,0,0,0,0,0.00,86901,0,960,0,19335,42,299,0.08,87861,0,0,0.0,2380,0.10,0.50,Deal,HealthLoss→BaseDamageFlat,生命值-150|激光攻击力+300,0,0,0.0,0.0,0.0,0.0,0,0,3,0,0,0.0,None,1.00,0,0,0,0,"Focus>Focus>Focus>Focus>Impact>Focus","Focus:5|Impact:1",0,5430,33280,1615.7,0,546,268,0.00,0,0,0,0,0,18,Chapter02_01,0,1.00,6,10,0,2,0,6,10,0,2,0,6,6,0,10,30,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
4,Mix,9,Win,59.8,0,0,0,0,0,20,1620,550,1620,490,60,60,0,60,0.00,96089,0,480,0,20748,33,244,0.10,96569,0,0,0.0,3250,0.10,0.50,Deal,HealthLoss→BaseDamageFlat,生命值-150|激光攻击力+300,0,0,0.0,0.0,0.0,0.0,0,0,4,0,0,0.0,None,1.00,0,0,0,0,"Focus>Focus>Focus>Focus>Impact>Focus>Impact>Impact","Focus:5|Impact:3",0,7406,37290,1615.5,2,615,288,0.00,0,0,0,0,0,20,Chapter02_01,0,1.00,6,10,2,2,0,6,10,2,2,0,6,6,0,10,30,0,0,0,0,14,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
5,A,10,Win,58.1,0,0,0,0,0,24,1470,490,1470,490,0,0,0,0,0.00,119073,0,1080,0,24697,31,253,0.13,120153,0,0,0.0,4000,0.10,0.50,Gacha_Coin,CoinReward,金币+100,0,0,0.0,0.0,0.0,0.0,0,1,4,0,0,0.0,None,1.00,0,0,0,0,"Focus>Focus>Focus>Focus>Impact>Focus>Impact>Impact>Crit","Focus:5|Impact:3|Crit:1",0,8480,42314,2069.0,0,715,334,0.00,0,0,0,0,0,24,Chapter02_01,0,1.00,8,12,2,2,0,8,12,2,2,0,8,8,0,12,36,0,0,0,0,14,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
6,A,12,Win,64.4,0,0,0,0,0,22,1470,490,1470,490,0,0,0,0,0.00,125785,0,2310,0,33858,40,253,0.10,128095,0,0,0.0,4000,0.13,0.50,Deal,HealthLoss→BaseDamagePercent,生命值-80|激光攻击力+12%,0,0,0.0,0.0,0.0,0.0,0,1,5,0,0,0.0,None,1.00,0,0,0,0,"Focus>Focus>Focus>Focus>Impact>Focus>Impact>Impact>Crit>Impact>Crit","Focus:5|Impact:4|Crit:2",0,10085,60720,1990.1,0,738,301,0.00,0,0,0,0,0,22,Chapter02_01,0,1.00,7,10,2,2,1,7,10,2,2,1,8,8,0,10,30,0,0,0,0,12,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
7,A,13,Win,62.2,0,0,0,0,0,24,1390,490,1390,400,90,90,0,90,0.00,135086,0,1960,0,39979,41,246,0.12,137046,0,0,0.0,4192,0.16,0.50,Supply,HealthRestore,生命值+250,0,0,0.0,0.0,0.0,0.0,1,1,5,0,0,0.0,None,1.00,0,0,0,0,"Focus>Focus>Focus>Focus>Impact>Focus>Impact>Impact>Crit>Impact>Crit>Crit","Focus:5|Impact:4|Crit:3",0,10649,65005,2203.1,3,747,307,0.00,0,0,0,0,0,24,Chapter02_01,0,1.00,9,10,2,2,1,9,10,2,2,1,10,10,0,10,30,0,0,0,0,11,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
8,A,15,Win,59.4,0,0,0,0,0,25,1640,400,1640,400,0,0,0,0,0.00,169341,0,1320,0,68573,68,267,0.13,170661,0,0,0.0,4192,0.19,0.50,Gacha_Coin,CoinReward,金币+100,0,0,0.0,0.0,0.0,0.0,1,2,5,0,0,0.0,None,1.00,0,0,0,0,"Focus>Focus>Focus>Focus>Impact>Focus>Impact>Impact>Crit>Impact>Crit>Crit>Crit>Crit","Focus:5|Impact:4|Crit:5",0,17487,64740,2875.0,0,1001,394,0.00,0,0,0,0,0,25,Chapter02_01,0,1.00,8,12,2,2,1,8,12,2,2,1,8,8,0,13,43,0,0,0,0,11,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
9,A,17,Win,65.4,0,0,0,0,0,41,1640,400,1640,160,305,240,0,240,0.00,327013,0,1560,0,147345,123,401,0.15,328573,0,0,0.0,4192,0.25,0.50,Supply,HealthRestore,生命值+150,0,0,0.0,0.0,0.0,0.0,2,2,5,0,0,0.0,None,1.00,0,0,0,0,"Focus>Focus>Focus>Focus>Impact>Focus>Impact>Impact>Crit>Impact>Crit>Crit>Crit>Crit>Impact>Power","Focus:5|Impact:5|Crit:5|Power:1",1,26450,121240,5022.2,9,1719,682,0.00,0,0,0,0,0,41,Chapter02_01,0,1.00,9,24,3,3,2,9,24,3,3,2,10,10,0,25,79,65,0,0,0,19,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
10,A,17,Win,58.6,0,0,0,0,0,0,1790,160,700,0,0,0,1250,1250,0.00,22998,0,0,0,11805,11,27,0.09,22998,0,0,0.0,4320,0.25,0.50,None,None,None,0,0,0.0,0.0,0.0,0.0,2,2,5,1250,0,0.0,Press,0.00,6,1,3,1,"Focus>Focus>Focus>Focus>Impact>Focus>Impact>Impact>Crit>Impact>Crit>Crit>Crit>Crit>Impact>Power","Focus:5|Impact:5|Crit:5|Power:1",1,5033,0,392.7,5,0,70,0.00,0,0,0,0,0,0,Chapter02_01,430780,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
