Wave,Build_Type,Player_Level,Result,Time_To_Clear,Kill_Slime,Kill_Rusher,Kill_Tank,Kill_Drifter,Kill_Elite,Kill_Total,HP_Start_Hull,HP_Start_Shield,HP_End_Hull,HP_End_Shield,Dmg_From_Mobs,Shield_Dmg_From_Mobs,Dmg_From_Boss,Player_HP_Lost,Tank_Absorbed_Ratio,Dmg_Main_Laser,Dmg_Sub_Laser,Dmg_Explosion,Dmg_Chain,Crit_Damage_Total,Crit_Hit_Count,Normal_Hit_Count,Overkill_Ratio,Dmg_Dealt_Total,Frost_Slow_Count,Frost_Freeze_Count,Frost_Slow_Duration,Panel_DPS,Panel_Crit_Rate,Panel_Laser_Width,Drone_Choice,Drone_Reward_Type,Drone_Reward_Value,Drone_Acc_Health,Drone_Acc_Shield,Drone_Acc_Damage_Pct,Drone_Acc_Crit_Pct,Drone_Acc_Laser_Width,Drone_Acc_Laser_Length,Drone_Count_Supply,Drone_Count_Gacha,Drone_Count_Deal,Boss_Dmg_Collision,Boss_Dmg_Bullet,Boss_Pushback_Time,Boss_Phase,Boss_HP_Remaining,Boss_Charge_Count,Boss_Press_Count,Boss_Summon_Count,Boss_Stun_Count,Skill_Path,Skill_Levels,Overload_Count,DPS_Peak,Enemy_Total_HP,Effective_DPS,Player_Hit_Count,Exp_Gained,Gold_Gained,Time_In_Danger,Spawn_Slime,Spawn_Rusher,Spawn_Tank,Spawn_Drifter,Spawn_Elite,Spawn_Total,Wave_Config_Id,Boss_Dmg_Dealt,Wave_Diff_Mult,Kill_LavaExploder,Kill_LavaSplitter,Kill_LavaGunner,Kill_LavaTank,Kill_LavaElite,Spawn_LavaExploder,Spawn_LavaSplitter,Spawn_LavaGunner,Spawn_LavaTank,Spawn_LavaElite,Spawn_LavaPuddle,Exploder_Death_Count,Exploder_AoE_Dmg_To_Player,Splitter_Death_Count,Splitter_Children_Spawned,Gunner_Bullet_Dmg_To_Player,Dmg_From_Mob_Explosion,Boss_Absorption_Count,Boss_Heal_Total,Gunner_Shots_Fired,Boss_Fireball_Hit_Count,Boss_Fireball_Burst_Count,Boss_Fireball_Intercepted_Count,Puddle_Peak_Count,Kill_FrostSlime,Kill_FrostTank,Kill_FrostCatalyst,Kill_Frostcaster,Kill_IceShieldGuard,Kill_FrostcasterElite,Kill_FrostGunner,Spawn_FrostSlime,Spawn_FrostTank,Spawn_FrostCatalyst,Spawn_Frostcaster,Spawn_IceShieldGuard,Spawn_FrostcasterElite,Spawn_FrostGunner,Spawn_IceWall,IceShield_Broken_Count,IceShield_Dmg_Absorbed,Catalyst_Burst_Count,Catalyst_Burst_Affected_Count,IceWall_Accelerated_Count,Frostcaster_Cast_Count,Frostcaster_Walls_Per_Cast_Total,IceWall_Hatch_Count,Monster_Berserk_Applied_Count,IceWall_Peak_Count,Tower_Freeze_Count,Tower_Freeze_Duration,IceSpike_Intercepted_Count,IceSpike_Hit_Count,Glacial_IceWall_Build_Count,Glacial_FreezeRay_Count,Glacial_Charge_Count,Glacial_AbsZero_Count,Glacial_AbsZero_Interrupted
1,Mix,3,Win,54.3,0,0,0,0,0,22,2000,1000,2000,1000,0,0,0,0,0.00,22200,0,0,0,2600,13,196,0.01,22200,0,0,0.0,1000,0.10,0.50,Deal,HealthLoss→LaserLengthPercent,生命值-150|激光长度+7%,0,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,None,1.00,0,0,0,0,"Impact>Impact","Impact:2",0,1700,22000,408.5,0,420,110,0.00,0,0,0,0,0,22,Chapter03_01,0,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
2,Mix,5,Win,64.9,0,0,0,0,0,21,1850,1000,1850,1000,0,0,0,0,0.00,42420,0,0,0,9820,47,326,0.01,42420,0,0,0.0,1000,0.10,0.50,Deal,HealthLoss→CritRatePercent,生命值-80|激光暴击率+4%,0,0,0.0,0.0,0.0,0.0,0,0,2,0,0,0.0,None,1.00,0,0,0,0,"Impact>Impact>Wide>Crit","Impact:2|Wide:1|Crit:1",0,1800,42000,653.9,0,520,165,0.00,0,0,0,0,0,21,Chapter03_01,0,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
3,Mix,8,Win,76.3,0,0,0,0,0,64,1770,1000,790,0,2020,1000,0,1980,0.00,94403,0,0,0,23005,103,481,0.21,94403,0,0,0.0,1000,0.17,0.65,Supply,HealthRestore,生命值+150,0,0,0.0,0.0,0.0,0.0,1,0,2,0,0,0.0,None,1.00,0,0,0,0,"Impact>Impact>Wide>Crit>Impact>Impact>Chain","Impact:4|Wide:1|Crit:1|Chain:1",1,21028,39900,1236.8,35,670,186,0.00,0,0,0,0,0,22,Chapter03_01,0,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,2,0,2,0,0,0,18,2,0,2,0,0,0,6,0,0,0.0,0,0,6,6,42,0,4,0,0.0,0,0,0,0,0,0,0
4,Mix,9,Win,93.4,0,0,0,0,0,64,940,0,515,0,425,0,0,425,0.00,94635,0,0,3550,29885,129,1281,0.05,98185,44,0,506.0,1000,0.17,0.65,Supply,HealthRestore,生命值+150,0,0,0.0,0.0,0.0,0.0,2,0,2,0,0,0.0,None,1.00,0,0,0,0,"Impact>Impact>Wide>Crit>Impact>Impact>Chain>Frost","Impact:4|Wide:1|Crit:1|Chain:1|Frost:1",1,2930,49830,1051.1,9,610,185,0.00,0,0,0,0,0,22,Chapter03_01,0,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,27,0,0,0,0,56,3,0,2,0,0,3,14,3,0,2,0,0,3,6,0,0,0.0,0,0,6,6,42,0,4,0,0.0,25,1,0,0,0,0,0
5,Mix,11,Win,66.7,0,0,0,0,0,58,665,0,200,0,530,0,0,465,0.00,77285,0,0,3020,23865,87,963,0.04,80305,117,0,795.0,1000,0.17,0.65,Supply,ShieldFull,护盾重启,0,0,0.0,0.0,0.0,0.0,3,0,2,0,0,0.0,None,1.00,0,0,0,0,"Impact>Impact>Wide>Crit>Impact>Impact>Chain>Frost>Impact>Frost","Impact:5|Wide:1|Crit:1|Chain:1|Frost:2",1,4705,37320,1203.7,12,578,157,14.57,0,0,0,0,0,16,Chapter03_01,0,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,29,0,0,0,0,48,2,3,2,0,0,3,6,2,3,2,0,0,3,6,0,0,1.0,4,0,6,6,42,4,4,0,0.0,26,2,0,0,0,0,0
6,Mix,12,Win,151.5,0,0,0,0,0,65,200,1000,200,745,385,60,0,255,0.00,119610,0,0,3340,33540,138,1344,0.04,122950,130,0,2137.5,1000,0.17,0.65,Supply,HealthRestore,生命值+250,0,0,0.0,0.0,0.0,0.0,4,0,2,0,0,0.0,None,1.00,0,0,0,0,"Impact>Impact>Wide>Crit>Impact>Impact>Chain>Frost>Impact>Frost>FrostSpread","Impact:5|Wide:1|Crit:1|Chain:1|Frost:2|FrostSpread:1",1,6840,70460,811.4,7,653,197,151.53,0,0,0,0,0,20,Chapter03_01,0,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,0,0,38,0,0,0,0,53,2,3,2,1,0,4,8,2,3,2,1,0,4,6,1,15040,3.0,14,1,6,6,45,14,4,0,0.0,31,0,0,0,0,0,0
7,C,14,Win,90.8,0,0,0,0,0,96,450,745,200,0,1030,390,0,995,0.00,139311,0,0,5980,37324,128,1624,0.05,145291,168,0,2998.5,1000,0.17,0.65,Supply,HealthRestore,生命值+150,0,0,0.0,0.0,0.0,0.0,5,0,2,0,0,0.0,None,1.00,0,0,0,0,"Impact>Impact>Wide>Crit>Impact>Impact>Chain>Frost>Impact>Frost>FrostSpread>Shatter>FrostSpread","Impact:5|Wide:1|Crit:1|Chain:1|Frost:2|FrostSpread:2|Shatter:1",1,4633,73780,1600.9,12,1033,237,19.00,0,0,0,0,0,19,Chapter03_01,0,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,0,0,0,56,0,0,0,0,83,3,3,2,0,1,4,6,3,3,2,0,1,4,13,0,0,3.0,7,5,9,13,77,6,4,0,0.0,47,0,0,0,0,0,0
8,C,15,Win,117.5,0,0,0,0,0,62,350,0,350,0,0,0,0,0,0.00,129017,0,0,3502,41280,120,969,0.06,132519,133,0,2173.5,1000,0.17,0.65,Supply,HealthRestore,生命值+150,0,0,0.0,0.0,0.0,0.0,6,0,2,0,0,0.0,None,1.00,0,0,0,0,"Impact>Impact>Wide>Crit>Impact>Impact>Chain>Frost>Impact>Frost>FrostSpread>Shatter>FrostSpread>Shatter","Impact:5|Wide:1|Crit:1|Chain:1|Frost:2|FrostSpread:2|Shatter:2",1,6083,74550,1127.8,0,629,187,117.50,0,0,0,0,0,16,Chapter03_01,0,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,50,2,4,2,1,0,3,4,2,4,2,1,0,3,6,1,15068.75,4.0,12,2,6,6,46,10,3,0,0.0,25,0,0,0,0,0,0
9,C,17,Win,76.1,0,0,0,0,0,90,500,0,190,0,310,0,0,310,0.00,140253,0,0,6801,43806,119,1405,0.07,147054,165,0,2927.5,1000,0.17,0.65,Supply,HealthRestore,生命值+150,0,0,0.0,0.0,0.0,0.0,7,0,2,0,0,0.0,None,1.00,0,0,0,0,"Impact>Impact>Wide>Crit>Impact>Impact>Chain>Frost>Impact>Frost>FrostSpread>Shatter>FrostSpread>Shatter>Chain>Frost","Impact:5|Wide:1|Crit:1|Chain:2|Frost:3|FrostSpread:2|Shatter:2",1,5516,77120,1931.4,3,959,200,33.71,0,0,0,0,0,22,Chapter03_01,0,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,78,2,4,2,0,1,3,10,2,4,2,0,1,3,13,0,0,4.0,20,2,10,13,68,20,4,0,0.0,23,0,0,0,0,0,0
10,C,17,Loss,91.1,0,0,0,0,0,43,340,0,0,0,0,0,750,340,0.00,47390,0,0,655,14835,42,301,0.09,48045,52,0,1286.0,1000,0.17,0.65,None,None,None,0,0,0.0,0.0,0.0,0.0,7,0,2,750,0,0.0,Charge,0.89,3,0,4,4,"Impact>Impact>Wide>Crit>Impact>Impact>Chain>Frost>Impact>Frost>FrostSpread>Shatter>FrostSpread>Shatter>Chain>Frost","Impact:5|Wide:1|Crit:1|Chain:2|Frost:3|FrostSpread:2|Shatter:2",1,2535,0,527.1,3,0,43,91.15,0,0,0,0,0,0,Chapter03_01,70628,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,48,0,5,4,4.5,0,0,4,2,3,2,0
