Wave,Build_Type,Player_Level,Result,Time_To_Clear,Kill_Slime,Kill_Rusher,Kill_Tank,Kill_Drifter,Kill_Elite,Kill_Total,HP_Start_Hull,HP_Start_Shield,HP_End_Hull,HP_End_Shield,Dmg_From_Mobs,Dmg_From_Boss,Player_HP_Lost,Tank_Absorbed_Ratio,Dmg_Main_Laser,Dmg_Sub_Laser,Dmg_Explosion,Dmg_Chain,Crit_Damage_Total,Crit_Hit_Count,Normal_Hit_Count,Overkill_Ratio,Dmg_Dealt_Total,Frost_Slow_Count,Frost_Freeze_Count,Frost_Slow_Duration,Panel_DPS,Panel_Crit_Rate,Panel_Laser_Width,Drone_Choice,Drone_Reward_Type,Drone_Reward_Value,Drone_Acc_Health,Drone_Acc_Shield,Drone_Acc_Damage_Pct,Drone_Acc_Crit_Pct,Drone_Acc_Laser_Width,Drone_Acc_Laser_Length,Drone_Count_Supply,Drone_Count_Gacha,Drone_Count_Deal,Boss_Dmg_Collision,Boss_Dmg_Bullet,Boss_Pushback_Time,Boss_Phase,Boss_HP_Remaining,Boss_Charge_Count,Boss_Press_Count,Boss_Summon_Count,Boss_Stun_Count,Skill_Path,Skill_Levels,Overload_Count,DPS_Peak,Enemy_Total_HP,Effective_DPS,Player_Hit_Count,Exp_Gained,Gold_Gained,Time_In_Danger,Spawn_Slime,Spawn_Rusher,Spawn_Tank,Spawn_Drifter,Spawn_Elite,Spawn_Total,Wave_Config_Id
1,Mix,3,Win,41.3,19,0,0,0,0,19,2000,1000,2000,1000,0,0,0,0.00,20820,0,0,0,3440,15,138,0.04,20820,0,0,0.0,1000,0.10,0.50,Deal,HealthLoss→BaseDamagePercent,生命值-150|激光攻击力+18%,0,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,None,1.00,0,0,0,0,"Focus>Focus","Focus:2",0,1560,20000,504.6,0,380,95,0.00,20,0,0,0,0,20,Chapter01_01_Test
2,Mix,5,Win,51.5,15,0,2,0,0,17,1850,1000,1850,1000,0,0,0,0.60,44482,0,0,0,9856,26,182,0.04,44482,0,0,0.0,1680,0.10,0.50,Deal,HealthLoss→LaserWidthPercent,生命值-80|激光宽度+8%,0,0,0.0,0.0,0.0,0.0,0,0,2,0,0,0.0,None,1.00,0,0,0,0,"Focus>Focus>Focus>Focus","Focus:4",0,3420,42900,863.3,0,460,125,0.00,15,0,3,0,0,18,Chapter01_01_Test
3,Mix,7,Win,45.7,15,24,1,0,0,40,1770,1000,1770,1000,0,0,0,0.21,46346,0,0,0,7564,15,167,0.13,46346,0,0,0.0,2200,0.10,0.54,Deal,HealthLoss→BaseDamagePercent,生命值-80|激光攻击力+12%,0,0,0.0,0.0,0.0,0.0,0,0,3,0,0,0.0,None,1.00,0,0,0,0,"Focus>Focus>Focus>Focus>Crit>Focus","Focus:5|Crit:1",0,2788,40320,1013.0,0,724,172,0.00,16,24,1,0,0,41,Chapter01_01_Test
4,A,9,Win,57.6,16,6,1,5,0,28,1690,1000,1690,1000,0,0,0,0.19,56681,0,0,0,12534,21,169,0.05,56681,0,0,0.0,2620,0.16,0.54,Deal,HealthLoss→BaseDamagePercent,生命值-80|激光攻击力+12%,0,0,0.0,0.0,0.0,0.0,0,0,4,0,0,0.0,None,1.00,0,0,0,0,"Focus>Focus>Focus>Focus>Crit>Focus>Crit>Impact","Focus:5|Crit:2|Impact:1",0,3301,53820,984.5,0,696,173,0.00,16,6,1,6,0,29,Chapter01_01_Test
5,A,11,Win,32.4,40,12,0,0,0,52,1610,1000,1610,1000,0,0,0,0.00,78376,0,0,0,29408,49,191,0.13,78376,0,0,0.0,2740,0.16,0.54,Deal,HealthLoss→BaseDamagePercent,生命值-150|激光攻击力+18%,0,0,0.0,0.0,0.0,0.0,0,0,5,0,0,0.0,None,1.00,0,0,0,0,"Focus>Focus>Focus>Focus>Crit>Focus>Crit>Impact>Impact>Crit","Focus:5|Crit:3|Impact:2",0,7469,67800,2418.4,0,960,236,0.00,40,13,0,0,0,53,Chapter01_01_Test
6,A,14,Win,62.0,20,8,4,0,1,33,1460,1000,1460,980,20,0,20,0.71,155170,0,0,0,55566,79,349,0.04,155170,0,0,0.0,2920,0.19,0.54,Deal,HealthLoss→BaseDamageFlat,生命值-150|激光攻击力+300,0,0,0.0,0.0,0.0,0.0,0,0,6,0,0,0.0,None,1.00,0,0,0,0,"Focus>Focus>Focus>Focus>Crit>Focus>Crit>Impact>Impact>Crit>Impact>Impact>Crit","Focus:5|Crit:4|Impact:4",0,7523,149760,2501.6,1,1248,249,0.00,20,8,5,0,1,34,Chapter01_01_Test
7,A,14,Win,39.1,0,20,0,5,0,25,1310,980,1310,980,0,0,0,0.00,61753,0,0,0,27437,28,91,0.15,61753,0,0,0.0,3796,0.22,0.54,Deal,HealthLoss→LaserWidthPercent,生命值-80|激光宽度+8%,0,0,0.0,0.0,0.0,0.0,0,0,7,0,0,0.0,None,1.00,0,0,0,0,"Focus>Focus>Focus>Focus>Crit>Focus>Crit>Impact>Impact>Crit>Impact>Impact>Crit","Focus:5|Crit:4|Impact:4",0,5618,50600,1578.8,0,520,110,0.00,0,20,0,6,0,26,Chapter01_01_Test
8,A,16,Win,47.3,12,0,2,6,1,21,1230,980,1230,980,0,0,0,0.26,169271,0,0,0,92261,85,208,0.06,169271,0,0,0.0,3796,0.25,0.58,Deal,HealthLoss→BaseDamageFlat,生命值-150|激光攻击力+300,0,0,0.0,0.0,0.0,0.0,0,0,8,0,0,0.0,None,1.00,0,0,0,0,"Focus>Focus>Focus>Focus>Crit>Focus>Crit>Impact>Impact>Crit>Impact>Impact>Crit>Crit>Impact","Focus:5|Crit:5|Impact:5",0,9471,156600,3581.4,0,840,180,0.00,12,0,2,7,1,22,Chapter01_01_Test
9,A,17,Win,45.2,24,14,1,4,0,43,1080,980,1080,930,50,0,50,0.14,193251,0,0,0,109616,66,159,0.16,193251,0,0,0.0,4672,0.25,0.58,Gacha,CritRatePercent,激光暴击率+3%,0,0,0.0,0.0,0.0,0.0,0,1,8,0,0,0.0,None,1.00,0,0,0,0,"Focus>Focus>Focus>Focus>Crit>Focus>Crit>Impact>Impact>Crit>Impact>Impact>Crit>Crit>Impact>Power","Focus:5|Crit:5|Impact:5|Power:1",1,25742,165330,4274.4,2,904,227,0.00,24,14,1,5,0,44,Chapter01_01_Test
10,A,17,Win,58.0,0,24,0,0,0,24,1080,930,810,0,0,1500,1200,0.00,17600,0,0,0,9521,8,19,0.45,17600,0,0,0.0,4320,0.28,0.58,None,None,None,0,0,0.0,0.0,0.0,0.0,0,1,8,1500,0,1.5,Charge,0.00,6,1,3,1,"Focus>Focus>Focus>Focus>Crit>Focus>Crit>Impact>Impact>Crit>Impact>Impact>Crit>Crit>Impact>Power","Focus:5|Crit:5|Impact:5|Power:1",1,4065,0,303.3,5,0,72,0.00,0,0,0,0,0,0,Chapter01_01_Test
