Wave,Build_Type,Player_Level,Result,Time_To_Clear,Kill_Slime,Kill_Rusher,Kill_Tank,Kill_Drifter,Kill_Elite,Kill_Total,HP_Start_Hull,HP_Start_Shield,HP_End_Hull,HP_End_Shield,Dmg_From_Mobs,Shield_Dmg_From_Mobs,Dmg_From_Boss,Player_HP_Lost,Tank_Absorbed_Ratio,Dmg_Main_Laser,Dmg_Sub_Laser,Dmg_Explosion,Dmg_Chain,Crit_Damage_Total,Crit_Hit_Count,Normal_Hit_Count,Overkill_Ratio,Dmg_Dealt_Total,Frost_Slow_Count,Frost_Freeze_Count,Frost_Slow_Duration,Panel_DPS,Panel_Crit_Rate,Panel_Laser_Width,Drone_Choice,Drone_Reward_Type,Drone_Reward_Value,Drone_Acc_Health,Drone_Acc_Shield,Drone_Acc_Damage_Pct,Drone_Acc_Crit_Pct,Drone_Acc_Laser_Width,Drone_Acc_Laser_Length,Drone_Count_Supply,Drone_Count_Gacha,Drone_Count_Deal,Boss_Dmg_Collision,Boss_Dmg_Bullet,Boss_Pushback_Time,Boss_Phase,Boss_HP_Remaining,Boss_Charge_Count,Boss_Press_Count,Boss_Summon_Count,Boss_Stun_Count,Skill_Path,Skill_Levels,Overload_Count,DPS_Peak,Enemy_Total_HP,Effective_DPS,Player_Hit_Count,Exp_Gained,Gold_Gained,Time_In_Danger,Spawn_Slime,Spawn_Rusher,Spawn_Tank,Spawn_Drifter,Spawn_Elite,Spawn_Total,Wave_Config_Id,Boss_Dmg_Dealt,Wave_Diff_Mult
1,Mix,3,Win,40.2,19,0,0,0,0,19,2000,1000,2000,1000,0,0,0,0,0.00,20190,0,0,0,3560,16,157,0.01,20190,14,0,106.0,1000,0.10,0.50,Deal,HealthLoss→BaseDamagePercent,生命值-150|激光攻击力+18%,0,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,None,1.00,0,0,0,0,"Frost>Shatter","Frost:1|Shatter:1",0,1500,20000,502.2,0,360,95,0.00,20,0,0,0,0,20,Chapter01_01_Test,0,1.00
2,Mix,5,Win,55.4,15,0,2,0,0,17,1850,1000,1850,1000,0,0,0,0,0.60,44793,0,0,0,7552,24,234,0.04,44793,26,0,391.0,1180,0.10,0.50,Deal,HealthLoss→BaseDamagePercent,生命值-80|激光攻击力+12%,0,0,0.0,0.0,0.0,0.0,0,0,2,0,0,0.0,None,1.00,0,0,0,0,"Frost>Shatter>FrostSpread>Shatter","Frost:1|Shatter:2|FrostSpread:1",0,2419,42900,808.3,0,460,125,0.00,15,0,3,0,0,18,Chapter01_01_Test,0,1.00
3,Mix,7,Win,45.5,15,24,1,0,0,40,1770,1000,1770,980,20,20,0,20,0.22,44681,0,0,0,7280,18,178,0.11,44681,53,0,228.0,1300,0.10,0.50,Deal,HealthLoss→BaseDamagePercent,生命值-80|激光攻击力+12%,0,0,0.0,0.0,0.0,0.0,0,0,3,0,0,0.0,None,1.00,0,0,0,0,"Frost>Shatter>FrostSpread>Shatter>Shatter>Shatter","Frost:1|Shatter:4|FrostSpread:1",0,2964,40320,982.3,1,684,172,0.00,16,24,1,0,0,41,Chapter01_01_Test,0,1.00
4,Mix,9,Win,112.2,16,6,1,5,0,28,1690,980,1690,980,0,0,0,0,0.08,47116,0,76680,0,13859,26,138,0.11,123796,68,0,202.0,1420,0.10,0.50,Deal,ShieldLoss→BaseDamagePercent,护盾值-100|激光攻击力+15%,0,0,0.0,0.0,0.0,0.0,0,0,4,0,0,0.0,None,1.00,0,0,0,0,"Frost>Shatter>FrostSpread>Shatter>Shatter>Shatter>Shatter>FrostSpread","Frost:1|Shatter:5|FrostSpread:2",0,10224,53820,1103.7,0,696,173,0.00,16,6,1,6,0,29,Chapter01_01_Test,0,1.00
5,Mix,11,Win,32.7,40,12,0,0,0,52,1690,880,1690,860,20,20,0,20,0.00,43740,0,160140,0,7159,12,147,0.32,203880,72,0,329.0,1570,0.10,0.50,Deal,HealthLoss→BaseDamageFlat,生命值-150|激光攻击力+300,0,0,0.0,0.0,0.0,0.0,0,0,5,0,0,0.0,None,1.00,0,0,0,0,"Frost>Shatter>FrostSpread>Shatter>Shatter>Shatter>Shatter>FrostSpread>FrostSpread>FrostSpread","Frost:1|Shatter:5|FrostSpread:4",0,44588,67800,6226.9,1,992,236,0.00,40,13,0,0,0,53,Chapter01_01_Test,0,1.00
6,Mix,14,Win,59.8,20,8,4,0,1,33,1540,860,1540,860,0,0,0,0,0.40,131492,0,142870,0,27972,32,254,0.11,274361,54,0,640.0,2041,0.10,0.50,Deal,HealthLoss→BaseDamagePercent,生命值-80|激光攻击力+12%,0,0,0.0,0.0,0.0,0.0,0,0,6,0,0,0.0,None,1.00,0,0,0,0,"Frost>Shatter>FrostSpread>Shatter>Shatter>Shatter>Shatter>FrostSpread>FrostSpread>FrostSpread>FrostSpread>Crit>Frost","Frost:2|Shatter:5|FrostSpread:5|Crit:1",0,25757,149760,4591.8,0,1248,249,0.00,20,8,5,0,1,34,Chapter01_01_Test,0,1.00
7,Mix,14,Win,50.8,0,20,0,5,0,25,1460,860,1460,860,0,0,0,0,0.00,48341,0,109850,0,11431,11,103,0.18,158191,50,0,235.5,2197,0.13,0.50,Deal,HealthLoss→CritRatePercent,生命值-80|激光暴击率+4%,0,0,0.0,0.0,0.0,0.0,0,0,7,0,0,0.0,None,1.00,0,0,0,0,"Frost>Shatter>FrostSpread>Shatter>Shatter>Shatter>Shatter>FrostSpread>FrostSpread>FrostSpread>FrostSpread>Crit>Frost","Frost:2|Shatter:5|FrostSpread:5|Crit:1",0,20285,50600,3111.8,0,520,110,0.00,0,20,0,6,0,26,Chapter01_01_Test,0,1.00
8,Mix,16,Win,49.9,12,0,2,6,1,21,1380,860,1380,860,0,0,0,0,0.19,143891,0,92274,0,47047,48,213,0.04,236165,41,0,1000.5,2197,0.17,0.50,Deal,HealthLoss→BaseDamageFlat,生命值-150|激光攻击力+300,0,0,0.0,0.0,0.0,0.0,0,0,8,0,0,0.0,None,1.00,0,0,0,0,"Frost>Shatter>FrostSpread>Shatter>Shatter>Shatter>Shatter>FrostSpread>FrostSpread>FrostSpread>FrostSpread>Crit>Frost>Frost>Frost","Frost:4|Shatter:5|FrostSpread:5|Crit:1",0,15509,156600,4736.0,0,800,180,0.00,12,0,2,7,1,22,Chapter01_01_Test,0,1.00
9,Mix,17,Win,59.7,24,14,1,4,0,43,1230,860,1230,660,200,200,0,200,0.07,125844,0,243360,0,44183,34,146,0.16,369204,54,0,697.5,2704,0.17,0.50,Deal,HealthLoss→BaseDamagePercent,生命值-80|激光攻击力+12%,0,0,0.0,0.0,0.0,0.0,0,0,9,0,0,0.0,None,1.00,0,0,0,0,"Frost>Shatter>FrostSpread>Shatter>Shatter>Shatter>Shatter>FrostSpread>FrostSpread>FrostSpread>FrostSpread>Crit>Frost>Frost>Frost>Frost","Frost:5|Shatter:5|FrostSpread:5|Crit:1",1,55216,165330,6179.6,7,944,227,0.00,24,14,1,5,0,44,Chapter01_01_Test,0,1.00
10,Mix,17,Win,33.1,0,16,0,0,0,16,1150,660,1150,420,0,0,240,240,0.00,3765,0,86880,0,0,0,18,0.67,90645,20,5,238.8,2896,0.17,0.50,None,None,None,0,0,0.0,0.0,0.0,0.0,0,0,9,0,240,9.4,Press,-0.01,0,2,2,1,"Frost>Shatter>FrostSpread>Shatter>Shatter>Shatter>Shatter>FrostSpread>FrostSpread>FrostSpread>FrostSpread>Crit>Frost>Frost>Frost>Frost","Frost:5|Shatter:5|FrostSpread:5|Crit:1",1,47900,0,2740.5,3,0,48,0.00,0,0,0,0,0,0,Chapter01_01_Test,120995,1.00
