Wave,Build_Type,Player_Level,Result,Time_To_Clear,Kill_Slime,Kill_Rusher,Kill_Tank,Kill_Drifter,Kill_Elite,Kill_Total,HP_Start_Hull,HP_Start_Shield,HP_End_Hull,HP_End_Shield,Dmg_From_Mobs,Shield_Dmg_From_Mobs,Dmg_From_Boss,Player_HP_Lost,Tank_Absorbed_Ratio,Dmg_Main_Laser,Dmg_Sub_Laser,Dmg_Explosion,Dmg_Chain,Crit_Damage_Total,Crit_Hit_Count,Normal_Hit_Count,Overkill_Ratio,Dmg_Dealt_Total,Frost_Slow_Count,Frost_Freeze_Count,Frost_Slow_Duration,Panel_DPS,Panel_Crit_Rate,Panel_Laser_Width,Drone_Choice,Drone_Reward_Type,Drone_Reward_Value,Drone_Acc_Health,Drone_Acc_Shield,Drone_Acc_Damage_Pct,Drone_Acc_Crit_Pct,Drone_Acc_Laser_Width,Drone_Acc_Laser_Length,Drone_Count_Supply,Drone_Count_Gacha,Drone_Count_Deal,Boss_Dmg_Collision,Boss_Dmg_Bullet,Boss_Pushback_Time,Boss_Phase,Boss_HP_Remaining,Boss_Charge_Count,Boss_Press_Count,Boss_Summon_Count,Boss_Stun_Count,Skill_Path,Skill_Levels,Overload_Count,DPS_Peak,Enemy_Total_HP,Effective_DPS,Player_Hit_Count,Exp_Gained,Gold_Gained,Time_In_Danger,Spawn_Slime,Spawn_Rusher,Spawn_Tank,Spawn_Drifter,Spawn_Elite,Spawn_Total,Wave_Config_Id,Boss_Dmg_Dealt,Wave_Diff_Mult,Kill_LavaExploder,Kill_LavaSplitter,Kill_LavaGunner,Kill_LavaTank,Kill_LavaElite,Spawn_LavaExploder,Spawn_LavaSplitter,Spawn_LavaGunner,Spawn_LavaTank,Spawn_LavaElite,Spawn_LavaPuddle,Exploder_Death_Count,Exploder_AoE_Dmg_To_Player,Splitter_Death_Count,Splitter_Children_Spawned,Gunner_Bullet_Dmg_To_Player,Dmg_From_Mob_Explosion,Boss_Absorption_Count,Boss_Heal_Total,Gunner_Shots_Fired,Boss_Fireball_Hit_Count,Boss_Fireball_Burst_Count,Boss_Fireball_Intercepted_Count,Puddle_Peak_Count,Kill_FrostSlime,Kill_FrostTank,Kill_FrostCatalyst,Kill_Frostcaster,Kill_IceShieldGuard,Kill_FrostcasterElite,Kill_FrostGunner,Spawn_FrostSlime,Spawn_FrostTank,Spawn_FrostCatalyst,Spawn_Frostcaster,Spawn_IceShieldGuard,Spawn_FrostcasterElite,Spawn_FrostGunner,Spawn_IceWall,IceShield_Broken_Count,IceShield_Dmg_Absorbed,Catalyst_Burst_Count,Catalyst_Burst_Affected_Count,IceWall_Accelerated_Count,Frostcaster_Cast_Count,Frostcaster_Walls_Per_Cast_Total,IceWall_Hatch_Count,Monster_Berserk_Applied_Count,IceWall_Peak_Count,Tower_Freeze_Count,Tower_Freeze_Duration,IceSpike_Intercepted_Count,IceSpike_Hit_Count,Glacial_IceWall_Build_Count,Glacial_FreezeRay_Count,Glacial_Charge_Count,Glacial_AbsZero_Count,Glacial_AbsZero_Interrupted
1,Mix,3,Win,53.9,0,0,0,0,0,22,2000,1000,2000,1000,0,0,0,0,0.00,22920,0,0,0,3140,13,160,0.04,22920,0,0,0.0,1000,0.10,0.50,Deal,HealthLoss→CritRatePercent,血量-80|暴击率+4%,0,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,None,1.00,0,0,0,0,"Focus>Focus","Focus:2",0,1300,22000,425.4,0,420,110,0.00,0,0,0,0,0,22,Chapter03_01,0,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
2,Mix,5,Win,54.1,0,0,0,0,0,21,1920,1000,1920,1000,0,0,0,0,0.00,43573,0,0,0,10585,31,199,0.04,43573,0,0,0.0,1500,0.14,0.50,Deal,HealthLoss→BaseDamagePercent,血量-80|攻击力+12%,0,0,0.0,0.0,0.0,0.0,0,0,2,0,0,0.0,None,1.00,0,0,0,0,"Focus>Focus>Crit>Focus","Focus:3|Crit:1",0,2456,42000,805.1,0,520,165,0.00,0,0,0,0,0,21,Chapter03_01,0,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
3,A,8,Win,63.6,0,0,0,0,0,64,1840,1000,1840,1000,0,0,0,0,0.00,95424,0,0,0,20450,38,290,0.14,95424,0,0,0.0,2320,0.13,0.50,Deal,HealthLoss→BaseDamagePercent,血量-150|攻击力+18%,0,0,0.0,0.0,0.0,0.0,0,0,3,0,0,0.0,None,1.00,0,0,0,0,"Focus>Focus>Crit>Focus>Focus>Impact>Crit","Focus:4|Crit:2|Impact:1",1,7925,39900,1501.0,0,735,182,0.00,0,0,0,0,0,22,Chapter03_01,0,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,2,0,2,0,0,0,18,2,0,2,0,0,0,6,0,0,0.0,0,0,6,6,42,0,4,0,0.0,0,0,0,0,0,0,0
4,A,9,Win,66.6,0,0,0,0,0,64,1690,1000,1690,1000,0,0,0,0,0.00,101346,0,0,0,33636,61,280,0.09,101346,0,0,0.0,2500,0.16,0.50,Deal,HealthLoss→BaseDamagePercent,血量-150|攻击力+18%,0,0,0.0,0.0,0.0,0.0,0,0,4,0,0,0.0,None,1.00,0,0,0,0,"Focus>Focus>Crit>Focus>Focus>Impact>Crit>Focus","Focus:5|Crit:2|Impact:1",0,5897,49830,1520.7,0,595,181,0.00,0,0,0,0,0,22,Chapter03_01,0,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,56,3,0,2,0,0,3,14,3,0,2,0,0,3,6,0,0,0.0,0,0,6,6,42,0,4,0,0.0,22,0,0,0,0,0,0
5,A,11,Win,58.4,0,0,0,0,0,70,1540,1000,1540,1000,0,0,0,0,0.00,103215,0,0,0,29809,49,265,0.12,103215,0,0,0.0,2680,0.16,0.50,Deal,HealthLoss→LaserWidthPercent,血量-80|激光宽度+8%,0,0,0.0,0.0,0.0,0.0,0,0,5,0,0,0.0,None,1.00,0,0,0,0,"Focus>Focus>Crit>Focus>Focus>Impact>Crit>Focus>Impact>Impact","Focus:5|Crit:2|Impact:3",0,6279,37320,1768.9,0,583,169,0.00,0,0,0,0,0,16,Chapter03_01,0,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,60,2,3,2,0,0,3,6,2,3,2,0,0,3,6,0,0,3.0,14,7,6,6,54,14,4,0,0.0,16,0,0,0,0,0,0
6,A,12,Win,84.8,0,0,0,0,0,66,1460,1000,1460,1000,0,0,0,0,0.00,127370,0,0,0,33668,54,342,0.09,127370,0,0,0.0,2680,0.16,0.54,Deal,HealthLoss→LaserLengthPercent,血量-150|激光长度+7%,0,0,0.0,0.0,0.0,0.0,0,0,6,0,0,0.0,None,1.00,0,0,0,0,"Focus>Focus>Crit>Focus>Focus>Impact>Crit>Focus>Impact>Impact>Impact","Focus:5|Crit:2|Impact:4",0,6122,70460,1502.2,0,658,198,0.00,0,0,0,0,0,20,Chapter03_01,0,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,54,2,3,2,1,0,4,8,2,3,2,1,0,4,6,1,15230.44,3.0,13,3,6,6,46,9,3,0,0.0,24,0,0,0,0,0,0
7,A,15,Win,118.1,0,0,0,0,0,111,1310,1000,1310,1000,0,0,0,0,0.00,185656,0,0,0,61097,99,471,0.11,185656,0,0,0.0,2680,0.16,0.54,Deal,HealthLoss→BaseDamagePercent,血量-80|攻击力+12%,0,0,0.0,0.0,0.0,0.0,0,0,7,0,0,0.0,None,1.00,0,0,0,0,"Focus>Focus>Crit>Focus>Focus>Impact>Crit>Focus>Impact>Impact>Impact>Reflex>Crit>Crit","Focus:5|Crit:4|Impact:4|Reflex:1",0,7220,73780,1572.5,0,1158,252,0.00,0,0,0,0,0,19,Chapter03_01,0,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,98,3,3,2,0,1,4,6,3,3,2,0,1,4,13,0,0,3.0,14,1,12,13,92,8,4,0,0.0,25,0,0,0,0,0,0
8,A,15,Win,73.3,0,0,0,0,0,66,1230,1000,1230,1000,0,0,0,0,0.00,139369,0,0,0,48775,65,318,0.11,139369,0,0,0.0,2800,0.22,0.54,Deal,HealthLoss→BaseDamagePercent,血量-150|攻击力+18%,0,0,0.0,0.0,0.0,0.0,0,0,8,0,0,0.0,None,1.00,0,0,0,0,"Focus>Focus>Crit>Focus>Focus>Impact>Crit>Focus>Impact>Impact>Impact>Reflex>Crit>Crit","Focus:5|Crit:4|Impact:4|Reflex:1",0,5958,74550,1900.4,0,649,191,0.00,0,0,0,0,0,16,Chapter03_01,0,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,54,2,4,2,1,0,3,4,2,4,2,1,0,3,6,1,15339.53,4.0,17,7,6,6,50,14,4,0,0.0,18,0,0,0,0,0,0
9,A,17,Win,68.1,0,0,0,0,0,93,1080,1000,1080,980,20,20,0,20,0.00,176617,0,0,0,81133,102,306,0.16,176617,0,0,0.0,2980,0.25,0.54,Deal,HealthLoss→LaserWidthPercent,血量-80|激光宽度+8%,0,0,0.0,0.0,0.0,0.0,0,0,9,0,0,0.0,None,1.00,0,0,0,0,"Focus>Focus>Crit>Focus>Focus>Impact>Crit>Focus>Impact>Impact>Impact>Reflex>Crit>Crit>Crit>Impact","Focus:5|Crit:5|Impact:5|Reflex:1",1,15864,77120,2592.7,1,984,203,0.00,0,0,0,0,0,22,Chapter03_01,0,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,81,2,4,2,0,1,3,10,2,4,2,0,1,3,13,0,0,3.0,10,1,10,13,71,7,4,0,0.0,14,0,0,0,0,0,0
10,A,17,Loss,109.1,0,0,0,0,0,64,1000,980,0,0,0,0,2250,1980,0.00,86388,0,0,0,42272,56,160,0.21,86388,0,0,0.0,2980,0.25,0.58,None,None,None,0,0,0.0,0.0,0.0,0.0,0,0,9,2250,0,0.0,Charge,0.29,9,0,5,3,"Focus>Focus>Crit>Focus>Focus>Impact>Crit>Focus>Impact>Impact>Impact>Reflex>Crit>Crit>Crit>Impact","Focus:5|Crit:5|Impact:5|Reflex:1",1,5024,0,792.0,9,0,64,11.06,0,0,0,0,0,0,Chapter03_01,460025,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,67,0,5,9,11.3,0,0,5,2,9,1,0
