Wave,Build_Type,Player_Level,Result,Time_To_Clear,Kill_Slime,Kill_Rusher,Kill_Tank,Kill_Drifter,Kill_Elite,Kill_Total,HP_Start_Hull,HP_Start_Shield,HP_End_Hull,HP_End_Shield,Dmg_From_Mobs,Shield_Dmg_From_Mobs,Dmg_From_Boss,Player_HP_Lost,Tank_Absorbed_Ratio,Dmg_Main_Laser,Dmg_Sub_Laser,Dmg_Explosion,Dmg_Chain,Crit_Damage_Total,Crit_Hit_Count,Normal_Hit_Count,Overkill_Ratio,Dmg_Dealt_Total,Frost_Slow_Count,Frost_Freeze_Count,Frost_Slow_Duration,Panel_DPS,Panel_Crit_Rate,Panel_Laser_Width,Drone_Choice,Drone_Reward_Type,Drone_Reward_Value,Drone_Acc_Health,Drone_Acc_Shield,Drone_Acc_Damage_Pct,Drone_Acc_Crit_Pct,Drone_Acc_Laser_Width,Drone_Acc_Laser_Length,Drone_Count_Supply,Drone_Count_Gacha,Drone_Count_Deal,Boss_Dmg_Collision,Boss_Dmg_Bullet,Boss_Pushback_Time,Boss_Phase,Boss_HP_Remaining,Boss_Charge_Count,Boss_Press_Count,Boss_Summon_Count,Boss_Stun_Count,Skill_Path,Skill_Levels,Overload_Count,DPS_Peak,Enemy_Total_HP,Effective_DPS,Player_Hit_Count,Exp_Gained,Gold_Gained,Time_In_Danger,Spawn_Slime,Spawn_Rusher,Spawn_Tank,Spawn_Drifter,Spawn_Elite,Spawn_Total,Wave_Config_Id,Boss_Dmg_Dealt,Wave_Diff_Mult,Kill_LavaExploder,Kill_LavaSplitter,Kill_LavaGunner,Kill_LavaTank,Kill_LavaElite,Spawn_LavaExploder,Spawn_LavaSplitter,Spawn_LavaGunner,Spawn_LavaTank,Spawn_LavaElite,Spawn_LavaPuddle,Exploder_Death_Count,Exploder_AoE_Dmg_To_Player,Splitter_Death_Count,Splitter_Children_Spawned,Gunner_Bullet_Dmg_To_Player,Dmg_From_Mob_Explosion,Boss_Absorption_Count,Boss_Heal_Total,Gunner_Shots_Fired,Boss_Fireball_Hit_Count,Boss_Fireball_Burst_Count,Boss_Fireball_Intercepted_Count,Puddle_Peak_Count,Kill_FrostSlime,Kill_FrostTank,Kill_FrostCatalyst,Kill_Frostcaster,Kill_IceShieldGuard,Kill_FrostcasterElite,Kill_FrostGunner,Spawn_FrostSlime,Spawn_FrostTank,Spawn_FrostCatalyst,Spawn_Frostcaster,Spawn_IceShieldGuard,Spawn_FrostcasterElite,Spawn_FrostGunner,Spawn_IceWall,IceShield_Broken_Count,IceShield_Dmg_Absorbed,Catalyst_Burst_Count,Catalyst_Burst_Affected_Count,IceWall_Accelerated_Count,Frostcaster_Cast_Count,Frostcaster_Walls_Per_Cast_Total,IceWall_Hatch_Count,Monster_Berserk_Applied_Count,IceWall_Peak_Count,Tower_Freeze_Count,Tower_Freeze_Duration,IceSpike_Intercepted_Count,IceSpike_Hit_Count,Glacial_IceWall_Build_Count,Glacial_FreezeRay_Count,Glacial_Charge_Count,Glacial_AbsZero_Count,Glacial_AbsZero_Interrupted
1,Mix,3,Win,43.0,20,0,0,0,0,20,2000,1000,2000,1000,0,0,0,0,0.00,21166,0,0,0,4276,17,144,0.06,21166,0,0,0.0,1000,0.10,0.50,Deal,HealthLoss→BaseDamagePercent,血量-150|攻击力+18%,0,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,None,1.00,0,0,0,0,"Focus>Crit","Focus:1|Crit:1",0,1469,20000,492.7,0,380,100,0.00,20,0,0,0,0,20,Chapter01_01,0,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
2,Mix,5,Win,54.1,15,0,3,0,0,18,1850,1000,1850,1000,0,0,0,0,0.60,44703,0,0,0,8305,19,192,0.04,44703,0,0,0.0,1480,0.13,0.50,Deal,HealthLoss→BaseDamagePercent,血量-80|攻击力+12%,0,0,0.0,0.0,0.0,0.0,0,0,2,0,0,0.0,None,1.00,0,0,0,0,"Focus>Crit>Focus>Focus","Focus:3|Crit:1",1,5826,42900,826.2,0,460,150,0.00,15,0,3,0,0,18,Chapter01_01,0,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
3,Mix,7,Win,45.9,16,24,1,0,0,41,1770,1000,1770,980,20,20,0,20,0.21,46628,0,0,0,11033,23,157,0.14,46628,0,0,0.0,1920,0.13,0.50,Deal,HealthLoss→LaserLengthPercent,血量-150|激光长度+7%,0,0,0.0,0.0,0.0,0.0,0,0,3,0,0,0.0,None,1.00,0,0,0,0,"Focus>Crit>Focus>Focus>Focus>Focus","Focus:5|Crit:1",0,3797,40320,1016.9,1,664,177,0.00,16,24,1,0,0,41,Chapter01_01,0,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
4,Mix,9,Win,65.1,16,6,1,6,0,29,1620,980,1620,940,40,40,0,40,0.18,59755,0,0,0,21978,38,153,0.10,59755,0,0,0.0,2500,0.16,0.50,Deal,HealthLoss→CritRatePercent,血量-80|暴击率+4%,0,0,0.0,0.0,0.0,0.0,0,0,4,0,0,0.0,None,1.00,0,0,0,0,"Focus>Crit>Focus>Focus>Focus>Focus>Crit>Crit","Focus:5|Crit:3",0,3766,53820,917.2,2,696,183,0.00,16,6,1,6,0,29,Chapter01_01,0,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
5,A,11,Win,33.4,40,13,0,0,0,53,1540,940,1540,920,20,20,0,20,0.00,75498,0,0,0,33185,56,180,0.11,75498,0,0,0.0,2500,0.23,0.50,Deal,HealthLoss→CritRatePercent,血量-80|暴击率+4%,0,0,0.0,0.0,0.0,0.0,0,0,5,0,0,0.0,None,1.00,0,0,0,0,"Focus>Crit>Focus>Focus>Focus>Focus>Crit>Crit>Impact>Crit","Focus:5|Crit:4|Impact:1",0,6500,67800,2258.8,1,976,239,0.00,40,13,0,0,0,53,Chapter01_01,0,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
6,A,13,Win,59.1,20,8,5,0,1,34,1460,920,1460,900,20,20,0,20,0.70,158178,0,0,0,73743,117,347,0.05,158178,0,0,0.0,2500,0.26,0.50,Deal,HealthLoss→BaseDamagePercent,血量-150|攻击力+18%,0,0,0.0,0.0,0.0,0.0,0,0,6,0,0,0.0,None,1.00,0,0,0,0,"Focus>Crit>Focus>Focus>Focus>Focus>Crit>Crit>Impact>Crit>Impact>Impact","Focus:5|Crit:4|Impact:3",0,6524,149760,2675.7,1,1168,274,0.00,20,8,5,0,1,34,Chapter01_01,0,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
7,A,14,Win,36.4,0,20,0,6,0,26,1310,900,1310,540,360,360,0,360,0.00,51033,0,0,0,23343,31,91,0.09,51033,0,0,0.0,2680,0.25,0.50,Deal,ShieldLoss→BaseDamagePercent,护盾-100|攻击力+15%,0,0,0.0,0.0,0.0,0.0,0,0,7,0,0,0.0,None,1.00,0,0,0,0,"Focus>Crit>Focus>Focus>Focus>Focus>Crit>Crit>Impact>Crit>Impact>Impact>Crit","Focus:5|Crit:5|Impact:3",1,5306,50600,1401.4,5,520,120,0.00,0,20,0,6,0,26,Chapter01_01,0,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
8,A,16,Win,67.4,12,0,2,7,1,22,1310,440,1310,0,450,440,0,440,0.27,163479,0,0,0,69705,99,310,0.05,163479,0,0,0.0,2830,0.25,0.50,Supply,HealthRestore,血量+150,0,0,0.0,0.0,0.0,0.0,1,0,7,0,0,0.0,None,1.00,0,0,0,0,"Focus>Crit>Focus>Focus>Focus>Focus>Crit>Crit>Impact>Crit>Impact>Impact>Crit>Impact>Power","Focus:5|Crit:5|Impact:4|Power:1",0,10565,156600,2426.5,7,840,190,0.00,12,0,2,7,1,22,Chapter01_01,0,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
9,A,17,Win,73.0,24,14,1,5,0,44,1460,0,670,0,790,0,0,790,0.18,152254,0,0,0,73191,99,294,0.06,152254,0,0,0.0,2700,0.25,0.50,Supply,ShieldFull,护盾重启,0,0,0.0,0.0,0.0,0.0,2,0,7,0,0,0.0,None,1.00,0,0,0,0,"Focus>Crit>Focus>Focus>Focus>Focus>Crit>Crit>Impact>Crit>Impact>Impact>Crit>Impact>Power>Impact","Focus:5|Crit:5|Impact:5|Power:1",1,13624,165330,2084.3,21,944,237,0.00,24,14,1,5,0,44,Chapter01_01,0,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
10,A,17,Win,36.7,0,9,0,0,0,9,670,1000,670,1000,0,0,250,0,0.00,6210,0,0,0,2808,4,12,0.42,6210,0,0,0.0,2700,0.25,0.50,None,None,None,0,0,0.0,0.0,0.0,0.0,2,0,7,250,0,3.0,Idle,0.00,1,2,2,2,"Focus>Crit>Focus>Focus>Focus>Focus>Crit>Crit>Impact>Crit>Impact>Impact>Crit>Impact>Power>Impact","Focus:5|Crit:5|Impact:5|Power:1",1,3159,0,169.3,1,0,27,0.00,0,0,0,0,0,0,Chapter01_01,180792,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
