Wave,Build_Type,Player_Level,Result,Time_To_Clear,Kill_Slime,Kill_Rusher,Kill_Tank,Kill_Drifter,Kill_Elite,Kill_Total,HP_Start_Hull,HP_Start_Shield,HP_End_Hull,HP_End_Shield,Dmg_From_Mobs,Dmg_From_Boss,Player_HP_Lost,Tank_Absorbed_Ratio,Dmg_Main_Laser,Dmg_Sub_Laser,Dmg_Explosion,Dmg_Chain,Crit_Damage_Total,Crit_Hit_Count,Normal_Hit_Count,Overkill_Ratio,Dmg_Dealt_Total,Frost_Slow_Count,Frost_Freeze_Count,Frost_Slow_Duration,Panel_DPS,Panel_Crit_Rate,Panel_Laser_Width,Drone_Choice,Drone_Reward_Type,Drone_Reward_Value,Drone_Acc_Health,Drone_Acc_Shield,Drone_Acc_Damage_Pct,Drone_Acc_Crit_Pct,Drone_Acc_Laser_Width,Drone_Acc_Laser_Length,Drone_Count_Supply,Drone_Count_Gacha,Drone_Count_Deal,Boss_Dmg_Collision,Boss_Dmg_Bullet,Boss_Pushback_Time,Boss_Phase,Boss_HP_Remaining,Boss_Charge_Count,Boss_Press_Count,Boss_Summon_Count,Boss_Stun_Count,Skill_Path,Skill_Levels,Overload_Count,DPS_Peak,Enemy_Total_HP,Effective_DPS,Player_Hit_Count,Exp_Gained,Gold_Gained,Time_In_Danger,Spawn_Slime,Spawn_Rusher,Spawn_Tank,Spawn_Drifter,Spawn_Elite,Spawn_Total,Wave_Config_Id
1,Mix,3,Win,39.5,19,0,0,0,0,19,2000,1000,2000,1000,0,0,0,0.00,21075,0,0,0,6015,24,129,0.05,21075,0,0,0.0,1000,0.10,0.50,Gacha,CritRatePercent,激光暴击率+3%,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0.0,None,1.00,0,0,0,0,"Focus>Crit","Focus:1|Crit:1",0,1300,20000,533.4,0,380,95,0.00,20,0,0,0,0,20,Chapter01_01_Test
2,Mix,5,Win,52.5,15,0,2,0,0,17,2000,1000,2000,1000,0,0,0,0.59,45020,0,0,0,11255,35,218,0.05,45020,0,0,0.0,1300,0.16,0.50,Gacha_Coin,CoinReward,金币+50,0,0,0.0,0.0,0.0,0.0,0,2,0,0,0,0.0,None,1.00,0,0,0,0,"Focus>Crit>Focus>Focus","Focus:3|Crit:1",0,2896,42900,857.2,0,460,125,0.00,15,0,3,0,0,18,Chapter01_01_Test
3,A,7,Win,45.3,15,24,1,0,0,40,2000,1000,2000,1000,0,0,0,0.21,45267,0,0,0,12504,29,166,0.11,45267,0,0,0.0,1800,0.16,0.50,Gacha_Negative,CritRateLossPercent,激光暴击率-4%,0,0,0.0,0.0,0.0,0.0,0,3,0,0,0,0.0,None,1.00,0,0,0,0,"Focus>Crit>Focus>Focus>Impact>Focus","Focus:4|Crit:1|Impact:1",0,4451,40320,999.9,0,684,172,0.00,16,24,1,0,0,41,Chapter01_01_Test
4,A,9,Win,49.9,16,6,1,5,0,28,2000,1000,2000,1000,0,0,0,0.17,59983,0,0,0,19683,36,162,0.10,59983,0,0,0.0,2500,0.14,0.50,Gacha_Epic,BaseDamagePercent,激光攻击力+25%,0,0,0.0,0.0,0.0,0.0,0,4,0,0,0,0.0,None,1.00,0,0,0,0,"Focus>Crit>Focus>Focus>Impact>Focus>Focus>Crit","Focus:5|Crit:2|Impact:1",0,3760,53820,1203.0,0,696,173,0.00,16,6,1,6,0,29,Chapter01_01_Test
5,A,11,Win,31.7,40,12,0,0,0,52,2000,1000,2000,1000,0,0,0,0.00,79710,0,0,0,19492,33,215,0.15,79710,0,0,0.0,2750,0.16,0.50,Gacha_Negative,NextWaveSpeedBuff,下一波怪物速度+30%,0,0,0.0,0.0,0.0,0.0,0,5,0,0,0,0.0,None,1.00,0,0,0,0,"Focus>Crit>Focus>Focus>Impact>Focus>Focus>Crit>Impact>Impact","Focus:5|Crit:2|Impact:3",1,8391,67800,2511.9,0,944,236,0.00,40,13,0,0,0,53,Chapter01_01_Test
6,A,13,Win,61.3,20,8,4,0,1,33,2000,1000,2000,1000,0,0,0,0.69,158245,0,0,0,59173,91,370,0.05,158245,0,0,0.0,2750,0.16,0.50,Gacha,LaserWidthPercent,激光宽度+10%,0,0,0.0,0.0,0.0,0.0,0,6,0,0,0,0.0,None,1.00,0,0,0,0,"Focus>Crit>Focus>Focus>Impact>Focus>Focus>Crit>Impact>Impact>Crit>Impact","Focus:5|Crit:3|Impact:4",0,8216,149760,2581.9,0,1168,249,0.00,20,8,5,0,1,34,Chapter01_01_Test
7,A,14,Win,40.1,0,20,0,5,0,25,2000,1000,2000,850,150,0,150,0.00,56304,0,0,0,22451,32,124,0.09,56304,0,0,0.0,2750,0.22,0.53,Gacha,CritRatePercent,激光暴击率+3%,0,0,0.0,0.0,0.0,0.0,0,7,0,0,0,0.0,None,1.00,0,0,0,0,"Focus>Crit>Focus>Focus>Impact>Focus>Focus>Crit>Impact>Impact>Crit>Impact>Crit","Focus:5|Crit:4|Impact:4",0,4235,50600,1403.7,1,520,110,0.00,0,20,0,6,0,26,Chapter01_01_Test
8,A,16,Win,60.7,12,0,2,6,1,21,2000,850,2000,700,150,0,150,0.26,164775,0,0,0,86136,97,257,0.06,164775,0,0,0.0,2750,0.28,0.53,Gacha,LaserWidthPercent,激光宽度+10%,0,0,0.0,0.0,0.0,0.0,0,8,0,0,0,0.0,None,1.00,0,0,0,0,"Focus>Crit>Focus>Focus>Impact>Focus>Focus>Crit>Impact>Impact>Crit>Impact>Crit>Crit>Impact","Focus:5|Crit:5|Impact:5",1,12480,156600,2714.6,1,800,180,0.00,12,0,2,7,1,22,Chapter01_01_Test
9,A,17,Win,66.0,24,14,1,4,0,43,2000,700,2000,90,610,0,610,0.19,137109,2585,0,0,69830,96,273,0.04,139694,0,0,0.0,2750,0.28,0.55,Supply,HealthRestore,生命值+150,0,0,0.0,0.0,0.0,0.0,1,8,0,0,0,0.0,None,1.00,0,0,0,0,"Focus>Crit>Focus>Focus>Impact>Focus>Focus>Crit>Impact>Impact>Crit>Impact>Crit>Crit>Impact>Prism","Focus:5|Crit:5|Impact:5|Prism:1",0,13002,165330,2115.3,18,944,227,0.00,24,14,1,5,0,44,Chapter01_01_Test
10,A,17,Win,72.7,0,32,0,0,0,32,2000,90,1790,0,0,600,300,0.00,21349,1067,0,0,13828,18,27,0.43,22416,0,0,0.0,2750,0.28,0.55,None,None,None,0,0,0.0,0.0,0.0,0.0,1,8,0,600,0,7.9,Press,0.00,2,6,4,4,"Focus>Crit>Focus>Focus>Impact>Focus>Focus>Crit>Impact>Impact>Crit>Impact>Crit>Crit>Impact>Prism","Focus:5|Crit:5|Impact:5|Prism:1",1,3951,0,308.3,2,0,96,0.00,0,0,0,0,0,0,Chapter01_01_Test
