Wave,Build_Type,Player_Level,Result,Time_To_Clear,Kill_Slime,Kill_Rusher,Kill_Tank,Kill_Drifter,Kill_Elite,Kill_Total,HP_Start_Hull,HP_Start_Shield,HP_End_Hull,HP_End_Shield,Dmg_From_Mobs,Dmg_From_Boss,Player_HP_Lost,Tank_Absorbed_Ratio,Dmg_Main_Laser,Dmg_Sub_Laser,Dmg_Explosion,Dmg_Chain,Crit_Damage_Total,Crit_Hit_Count,Normal_Hit_Count,Overkill_Ratio,Dmg_Dealt_Total,Frost_Slow_Count,Frost_Freeze_Count,Frost_Slow_Duration,Panel_DPS,Panel_Crit_Rate,Panel_Laser_Width,Drone_Choice,Drone_Reward_Type,Drone_Reward_Value,Drone_Acc_Health,Drone_Acc_Shield,Drone_Acc_Damage_Pct,Drone_Acc_Crit_Pct,Drone_Acc_Laser_Width,Drone_Acc_Laser_Length,Drone_Count_Supply,Drone_Count_Gacha,Drone_Count_Deal,Boss_Dmg_Collision,Boss_Dmg_Bullet,Boss_Pushback_Time,Boss_Phase,Boss_HP_Remaining,Boss_Charge_Count,Boss_Press_Count,Boss_Summon_Count,Boss_Stun_Count,Skill_Path,Skill_Levels,Overload_Count,DPS_Peak,Enemy_Total_HP,Effective_DPS,Player_Hit_Count,Exp_Gained,Gold_Gained,Time_In_Danger,Spawn_Slime,Spawn_Rusher,Spawn_Tank,Spawn_Drifter,Spawn_Elite,Spawn_Total,Wave_Config_Id
1,Mix,3,Win,39.3,19,0,0,0,0,19,2000,1000,2000,1000,0,0,0,0.00,20050,0,0,0,4900,25,153,0.00,20050,13,0,117.0,1000,0.10,0.50,Deal,HealthLoss→BaseDamagePercent,生命值-80|激光攻击力+12%,0,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,None,1.00,0,0,0,0,"Frost>Reflex","Frost:1|Reflex:1",0,1700,20000,510.8,0,380,95,0.00,20,0,0,0,0,20,Chapter01_01_Test
2,Mix,5,Win,63.1,15,0,2,0,0,17,1920,1000,1920,1000,0,0,0,0.61,43568,0,0,0,8064,36,317,0.02,43568,25,0,503.0,1120,0.10,0.50,Deal,HealthLoss→BaseDamageFlat,生命值-150|激光攻击力+300,0,0,0.0,0.0,0.0,0.0,0,0,2,0,0,0.0,None,1.00,0,0,0,0,"Frost>Reflex>Frost>FrostSpread","Frost:2|Reflex:1|FrostSpread:1",0,1904,42900,690.9,0,460,125,0.00,15,0,3,0,0,18,Chapter01_01_Test
3,Mix,8,Win,48.5,15,24,1,0,0,40,1770,1000,1770,1000,0,0,0,0.22,44190,0,0,0,7047,22,238,0.09,44190,46,0,489.0,1456,0.10,0.50,Deal,ShieldLoss→CritRatePercent,护盾值-100|激光暴击率+5%,0,0,0.0,0.0,0.0,0.0,0,0,3,0,0,0.0,None,1.00,0,0,0,0,"Frost>Reflex>Frost>FrostSpread>FrostSpread>Shatter>Shatter","Frost:2|Reflex:1|FrostSpread:2|Shatter:2",0,2650,40320,911.9,0,744,172,0.00,16,24,1,0,0,41,Chapter01_01_Test
4,Mix,9,Win,69.5,16,6,1,5,0,28,1770,900,1770,900,0,0,0,0.18,58458,0,0,0,14851,34,207,0.07,58458,70,0,510.0,1456,0.15,0.50,Deal,HealthLoss→BaseDamagePercent,生命值-150|激光攻击力+18%,0,0,0.0,0.0,0.0,0.0,0,0,4,0,0,0.0,None,1.00,0,0,0,0,"Frost>Reflex>Frost>FrostSpread>FrostSpread>Shatter>Shatter>Shatter","Frost:2|Reflex:1|FrostSpread:2|Shatter:3",0,2868,53820,841.5,0,656,173,0.00,16,6,1,6,0,29,Chapter01_01_Test
5,Mix,11,Win,32.7,40,12,0,0,0,52,1620,900,1620,870,30,0,30,0.00,80765,0,0,0,16478,28,217,0.17,80765,65,0,1213.5,1690,0.15,0.50,Deal,ShieldLoss→CritRatePercent,护盾值-100|激光暴击率+5%,0,0,0.0,0.0,0.0,0.0,0,0,5,0,0,0.0,None,1.00,0,0,0,0,"Frost>Reflex>Frost>FrostSpread>FrostSpread>Shatter>Shatter>Shatter>FrostSpread>FrostSpread","Frost:2|Reflex:1|FrostSpread:4|Shatter:3",1,5746,67800,2471.7,1,944,236,0.00,40,13,0,0,0,53,Chapter01_01_Test
6,Mix,14,Win,64.6,20,8,4,0,1,33,1620,770,1620,770,0,0,0,0.70,156984,0,0,0,52086,95,377,0.05,156984,48,0,2423.5,1690,0.20,0.50,Deal,HealthLoss→LaserLengthPercent,生命值-150|激光长度+15%,0,0,0.0,0.0,0.0,0.0,0,0,6,0,0,0.0,None,1.00,0,0,0,0,"Frost>Reflex>Frost>FrostSpread>FrostSpread>Shatter>Shatter>Shatter>FrostSpread>FrostSpread>Frost>Frost>FrostSpread","Frost:4|Reflex:1|FrostSpread:5|Shatter:3",0,6033,149760,2429.8,0,1248,249,0.00,20,8,5,0,1,34,Chapter01_01_Test
7,Mix,14,Win,56.3,0,20,0,5,0,25,1470,770,1470,770,0,0,0,0.00,56201,0,0,0,19891,41,144,0.10,56201,45,0,697.5,1690,0.20,0.50,Deal,HealthLoss→LaserLengthPercent,生命值-150|激光长度+15%,0,0,0.0,0.0,0.0,0.0,0,0,7,0,0,0.0,None,1.00,0,0,0,0,"Frost>Reflex>Frost>FrostSpread>FrostSpread>Shatter>Shatter>Shatter>FrostSpread>FrostSpread>Frost>Frost>FrostSpread","Frost:4|Reflex:1|FrostSpread:5|Shatter:3",0,3101,50600,999.0,0,480,110,0.00,0,20,0,6,0,26,Chapter01_01_Test
8,Mix,16,Win,62.5,12,0,2,6,1,21,1320,770,1320,770,0,0,0,0.26,164724,0,0,0,48740,69,334,0.04,164724,37,2,1925.0,1690,0.20,0.50,Deal,HealthLoss→BaseDamageFlat,生命值-150|激光攻击力+300,0,0,0.0,0.0,0.0,0.0,0,0,8,0,0,0.0,None,1.00,0,0,0,0,"Frost>Reflex>Frost>FrostSpread>FrostSpread>Shatter>Shatter>Shatter>FrostSpread>FrostSpread>Frost>Frost>FrostSpread>Shatter>Frost","Frost:5|Reflex:1|FrostSpread:5|Shatter:4",1,10613,156600,2634.5,0,840,180,0.00,12,0,2,7,1,22,Chapter01_01_Test
9,Mix,17,Win,44.9,24,14,1,4,0,43,1170,770,1170,380,390,0,390,0.14,141295,0,45760,0,50066,69,244,0.07,187054,63,4,1292.5,2080,0.20,0.50,Supply,ShieldRestore,护盾值+200,0,0,0.0,0.0,0.0,0.0,1,0,8,0,0,0.0,None,1.00,0,0,0,0,"Frost>Reflex>Frost>FrostSpread>FrostSpread>Shatter>Shatter>Shatter>FrostSpread>FrostSpread>Frost>Frost>FrostSpread>Shatter>Frost>Shatter","Frost:5|Reflex:1|FrostSpread:5|Shatter:5",0,21154,165330,4163.1,15,944,227,0.00,24,14,1,5,0,44,Chapter01_01_Test
10,Mix,17,Loss,187.3,0,104,0,0,0,104,1170,580,0,0,0,2372,1750,0.00,22922,0,436800,0,9942,12,114,0.66,459722,137,34,1253.8,2080,0.20,0.50,None,None,None,0,0,0.0,0.0,0.0,0.0,1,0,8,1500,872,34.0,Press,0.08,6,6,15,5,"Frost>Reflex>Frost>FrostSpread>FrostSpread>Shatter>Shatter>Shatter>FrostSpread>FrostSpread>Frost>Frost>FrostSpread>Shatter>Frost>Shatter","Frost:5|Reflex:1|FrostSpread:5|Shatter:5",3,53997,0,2455.0,382,0,312,16.81,0,0,0,0,0,0,Chapter01_01_Test
