Wave,Build_Type,Player_Level,Result,Time_To_Clear,Kill_Slime,Kill_Rusher,Kill_Tank,Kill_Drifter,Kill_Elite,Kill_Total,HP_Start_Hull,HP_Start_Shield,HP_End_Hull,HP_End_Shield,Dmg_From_Mobs,Shield_Dmg_From_Mobs,Dmg_From_Boss,Player_HP_Lost,Tank_Absorbed_Ratio,Dmg_Main_Laser,Dmg_Sub_Laser,Dmg_Explosion,Dmg_Chain,Crit_Damage_Total,Crit_Hit_Count,Normal_Hit_Count,Overkill_Ratio,Dmg_Dealt_Total,Frost_Slow_Count,Frost_Freeze_Count,Frost_Slow_Duration,Panel_DPS,Panel_Crit_Rate,Panel_Laser_Width,Drone_Choice,Drone_Reward_Type,Drone_Reward_Value,Drone_Acc_Health,Drone_Acc_Shield,Drone_Acc_Damage_Pct,Drone_Acc_Crit_Pct,Drone_Acc_Laser_Width,Drone_Acc_Laser_Length,Drone_Count_Supply,Drone_Count_Gacha,Drone_Count_Deal,Boss_Dmg_Collision,Boss_Dmg_Bullet,Boss_Pushback_Time,Boss_Phase,Boss_HP_Remaining,Boss_Charge_Count,Boss_Press_Count,Boss_Summon_Count,Boss_Stun_Count,Skill_Path,Skill_Levels,Overload_Count,DPS_Peak,Enemy_Total_HP,Effective_DPS,Player_Hit_Count,Exp_Gained,Gold_Gained,Time_In_Danger,Spawn_Slime,Spawn_Rusher,Spawn_Tank,Spawn_Drifter,Spawn_Elite,Spawn_Total,Wave_Config_Id
1,Mix,3,Win,41.8,19,0,0,0,0,19,2000,1000,2000,1000,0,0,0,0,0.00,20300,0,0,0,5000,25,153,0.01,20300,21,0,112.0,1000,0.10,0.50,Deal,HealthLoss→LaserWidthPercent,生命值-80|激光宽度+8%,0,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,None,1.00,0,0,0,0,"Frost>FrostSpread","Frost:1|FrostSpread:1",0,2500,20000,485.7,0,360,95,0.00,20,0,0,0,0,20,Chapter01_01_Test
2,Mix,5,Win,59.2,15,0,2,0,0,17,1920,1000,1920,1000,0,0,0,0,0.61,43900,0,0,0,6340,26,303,0.02,43900,34,0,527.0,1000,0.10,0.54,Deal,HealthLoss→BaseDamagePercent,生命值-80|激光攻击力+12%,0,0,0.0,0.0,0.0,0.0,0,0,2,0,0,0.0,None,1.00,0,0,0,0,"Frost>FrostSpread>Shatter>Frost","Frost:2|FrostSpread:1|Shatter:1",0,2310,42900,741.9,0,460,125,0.00,15,0,3,0,0,18,Chapter01_01_Test
3,Mix,7,Win,47.8,15,24,1,0,0,40,1840,1000,1840,1000,0,0,0,0,0.21,45730,0,0,0,9610,31,240,0.12,45730,52,0,625.0,1120,0.10,0.54,Deal,HealthLoss→LaserWidthPercent,生命值-80|激光宽度+8%,0,0,0.0,0.0,0.0,0.0,0,0,3,0,0,0.0,None,1.00,0,0,0,0,"Frost>FrostSpread>Shatter>Frost>Frost>Shatter","Frost:3|FrostSpread:1|Shatter:2",0,2912,40320,956.6,0,724,172,0.00,16,24,1,0,0,41,Chapter01_01_Test
4,Mix,9,Win,109.3,16,6,1,5,0,28,1760,1000,1760,1000,0,0,0,0,0.18,57232,0,0,0,9632,29,305,0.06,57232,88,0,1122.5,1120,0.10,0.58,Deal,ShieldLoss→BaseDamagePercent,护盾值-100|激光攻击力+15%,0,0,0.0,0.0,0.0,0.0,0,0,4,0,0,0.0,None,1.00,0,0,0,0,"Frost>FrostSpread>Shatter>Frost>Frost>Shatter>Frost>FrostSpread","Frost:4|FrostSpread:2|Shatter:2",0,1848,53820,523.7,0,696,173,0.00,16,6,1,6,0,29,Chapter01_01_Test
5,Mix,11,Win,33.7,40,12,0,0,0,52,1760,900,1760,900,0,0,0,0,0.00,74650,0,0,0,11887,26,293,0.09,74650,68,0,2207.5,1270,0.10,0.58,Deal,HealthLoss→LaserLengthPercent,生命值-150|激光长度+15%,0,0,0.0,0.0,0.0,0.0,0,0,5,0,0,0.0,None,1.00,0,0,0,0,"Frost>FrostSpread>Shatter>Frost>Frost>Shatter>Frost>FrostSpread>Frost>Shatter","Frost:5|FrostSpread:2|Shatter:3",1,6858,67800,2214.4,0,976,236,0.00,40,13,0,0,0,53,Chapter01_01_Test
6,Mix,14,Win,74.5,20,8,4,0,1,33,1610,900,1610,840,60,0,0,60,0.71,152920,0,0,0,24790,58,582,0.03,152920,47,32,3227.5,1270,0.10,0.58,Deal,HealthLoss→BaseDamagePercent,生命值-80|激光攻击力+12%,0,0,0.0,0.0,0.0,0.0,0,0,6,0,0,0.0,None,1.00,0,0,0,0,"Frost>FrostSpread>Shatter>Frost>Frost>Shatter>Frost>FrostSpread>Frost>Shatter>FrostSpread>Shatter>FrostSpread","Frost:5|FrostSpread:4|Shatter:4",0,4826,149760,2052.7,3,1248,249,0.00,20,8,5,0,1,34,Chapter01_01_Test
7,Mix,14,Win,59.8,0,20,0,5,0,25,1530,840,1530,780,60,0,0,60,0.00,51722,0,0,0,2419,6,199,0.04,51722,41,0,827.5,1390,0.10,0.58,Deal,ShieldLoss→BaseDamagePercent,护盾值-100|激光攻击力+15%,0,0,0.0,0.0,0.0,0.0,0,0,7,0,0,0.0,None,1.00,0,0,0,0,"Frost>FrostSpread>Shatter>Frost>Frost>Shatter>Frost>FrostSpread>Frost>Shatter>FrostSpread>Shatter>FrostSpread","Frost:5|FrostSpread:4|Shatter:4",0,2655,50600,865.5,3,520,110,0.00,0,20,0,6,0,26,Chapter01_01_Test
8,Mix,16,Win,50.3,12,0,2,6,1,21,1530,680,1530,680,0,0,0,0,0.19,146177,0,80080,0,29814,36,317,0.09,226256,35,5,1742.5,1540,0.10,0.58,Deal,ShieldLoss→CritRatePercent,护盾值-100|激光暴击率+5%,0,0,0.0,0.0,0.0,0.0,0,0,8,0,0,0.0,None,1.00,0,0,0,0,"Frost>FrostSpread>Shatter>Frost>Frost>Shatter>Frost>FrostSpread>Frost>Shatter>FrostSpread>Shatter>FrostSpread>Shatter>FrostSpread","Frost:5|FrostSpread:5|Shatter:5",1,22484,156600,4497.5,0,760,180,0.00,12,0,2,7,1,22,Chapter01_01_Test
9,Mix,17,Win,64.8,24,14,1,4,0,43,1530,580,1530,300,280,0,0,280,0.12,126634,0,101640,0,30169,45,315,0.11,228274,61,8,1402.5,1540,0.15,0.58,Supply,ShieldRestore,护盾值+100,0,0,0.0,0.0,0.0,0.0,1,0,8,0,0,0.0,None,1.00,0,0,0,0,"Frost>FrostSpread>Shatter>Frost>Frost>Shatter>Frost>FrostSpread>Frost>Shatter>FrostSpread>Shatter>FrostSpread>Shatter>FrostSpread>Crit","Frost:5|FrostSpread:5|Shatter:5|Crit:1",0,20482,165330,3521.4,11,944,227,0.00,24,14,1,5,0,44,Chapter01_01_Test
10,Mix,17,Win,52.4,0,24,0,0,0,24,1530,400,1530,400,0,0,160,0,0.00,5379,0,73920,0,728,1,35,0.65,79299,32,7,451.3,1540,0.13,0.58,None,None,None,0,0,0.0,0.0,0.0,0.0,1,0,8,0,160,17.4,Press,0.00,0,3,3,2,"Frost>FrostSpread>Shatter>Frost>Frost>Shatter>Frost>FrostSpread>Frost>Shatter>FrostSpread>Shatter>FrostSpread>Shatter>FrostSpread>Crit","Frost:5|FrostSpread:5|Shatter:5|Crit:1",1,26642,0,1512.7,2,0,72,0.00,0,0,0,0,0,0,Chapter01_01_Test
