Wave,Build_Type,Player_Level,Result,Time_To_Clear,Kill_Slime,Kill_Rusher,Kill_Tank,Kill_Drifter,Kill_Elite,Kill_Total,HP_Start_Hull,HP_Start_Shield,HP_End_Hull,HP_End_Shield,Dmg_From_Mobs,Shield_Dmg_From_Mobs,Dmg_From_Boss,Player_HP_Lost,Tank_Absorbed_Ratio,Dmg_Main_Laser,Dmg_Sub_Laser,Dmg_Explosion,Dmg_Chain,Crit_Damage_Total,Crit_Hit_Count,Normal_Hit_Count,Overkill_Ratio,Dmg_Dealt_Total,Frost_Slow_Count,Frost_Freeze_Count,Frost_Slow_Duration,Panel_DPS,Panel_Crit_Rate,Panel_Laser_Width,Drone_Choice,Drone_Reward_Type,Drone_Reward_Value,Drone_Acc_Health,Drone_Acc_Shield,Drone_Acc_Damage_Pct,Drone_Acc_Crit_Pct,Drone_Acc_Laser_Width,Drone_Acc_Laser_Length,Drone_Count_Supply,Drone_Count_Gacha,Drone_Count_Deal,Boss_Dmg_Collision,Boss_Dmg_Bullet,Boss_Pushback_Time,Boss_Phase,Boss_HP_Remaining,Boss_Charge_Count,Boss_Press_Count,Boss_Summon_Count,Boss_Stun_Count,Skill_Path,Skill_Levels,Overload_Count,DPS_Peak,Enemy_Total_HP,Effective_DPS,Player_Hit_Count,Exp_Gained,Gold_Gained,Time_In_Danger,Spawn_Slime,Spawn_Rusher,Spawn_Tank,Spawn_Drifter,Spawn_Elite,Spawn_Total,Wave_Config_Id,Boss_Dmg_Dealt,Wave_Diff_Mult
1,Mix,3,Win,42.6,19,0,0,0,0,19,2000,1000,2000,1000,0,0,0,0,0.00,20400,0,0,0,4600,23,159,0.02,20400,0,0,0.0,1000,0.10,0.50,Deal,HealthLoss→BaseDamagePercent,生命值-80|激光攻击力+12%,0,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,None,1.00,0,0,0,0,"Prism>Reflex","Prism:1|Reflex:1",0,1200,20000,479.1,0,380,95,0.00,20,0,0,0,0,20,Chapter01_01_Test,0,1.00
2,B,5,Win,60.5,15,0,2,0,0,17,1920,1000,1920,1000,0,0,0,0,0.61,43456,0,0,0,6496,29,330,0.01,43456,0,0,0.0,1120,0.10,0.50,Gacha_Coin,CoinReward,金币+50,0,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0.0,None,1.00,0,0,0,0,"Prism>Reflex>Wide>Prism","Prism:2|Reflex:1|Wide:1",0,2128,42900,718.4,0,460,125,0.00,15,0,3,0,0,18,Chapter01_01_Test,0,1.00
3,B,8,Win,48.5,15,24,1,0,0,40,1920,1000,1920,1000,0,0,0,0,0.23,39178,3413,0,0,7851,39,342,0.05,42590,0,0,0.0,1120,0.10,0.60,Deal,HealthLoss→BaseDamagePercent,生命值-80|激光攻击力+12%,0,0,0.0,0.0,0.0,0.0,0,1,2,0,0,0.0,None,1.00,0,0,0,0,"Prism>Reflex>Wide>Prism>Reflex>Prism>Prism","Prism:4|Reflex:2|Wide:1",0,2425,40320,878.2,0,764,172,0.00,16,24,1,0,0,41,Chapter01_01_Test,0,1.00
4,B,9,Win,69.0,16,6,1,5,0,28,1840,1000,1840,980,20,20,0,20,0.19,48410,7256,0,0,10471,46,396,0.03,55666,0,0,0.0,1240,0.10,0.60,Deal,HealthLoss→BaseDamagePercent,生命值-80|激光攻击力+12%,0,0,0.0,0.0,0.0,0.0,0,1,3,0,0,0.0,None,1.00,0,0,0,0,"Prism>Reflex>Wide>Prism>Reflex>Prism>Prism>Prism","Prism:5|Reflex:2|Wide:1",0,2604,53820,806.2,1,696,173,0.00,16,6,1,6,0,29,Chapter01_01_Test,0,1.00
5,B,11,Win,32.2,40,12,0,0,0,52,1760,980,1760,930,50,50,0,50,0.00,29838,41183,0,0,14364,69,562,0.06,71022,0,0,0.0,1360,0.10,0.60,Deal,HealthLoss→CritRatePercent,生命值-80|激光暴击率+4%,0,0,0.0,0.0,0.0,0.0,0,1,4,0,0,0.0,None,1.00,0,0,0,0,"Prism>Reflex>Wide>Prism>Reflex>Prism>Prism>Prism>Wide>Reflex","Prism:5|Reflex:3|Wide:2",0,6242,67800,2205.9,2,960,236,0.00,40,13,0,0,0,53,Chapter01_01_Test,0,1.00
6,B,14,Win,58.7,20,8,4,0,1,33,1680,930,1680,910,20,20,0,20,0.71,56968,95038,0,0,36982,183,1139,0.01,152007,0,0,0.0,1360,0.14,0.70,Deal,HealthLoss→BaseDamageFlat,生命值-150|激光攻击力+300,0,0,0.0,0.0,0.0,0.0,0,1,5,0,0,0.0,None,1.00,0,0,0,0,"Prism>Reflex>Wide>Prism>Reflex>Prism>Prism>Prism>Wide>Reflex>Reflex>Reflex>Power","Prism:5|Reflex:5|Wide:2|Power:1",0,4714,149760,2590.6,1,1248,249,0.00,20,8,5,0,1,34,Chapter01_01_Test,0,1.00
7,B,14,Win,34.9,0,20,0,5,0,25,1530,910,1530,890,20,20,0,20,0.00,18252,36364,0,0,15163,63,324,0.04,54615,0,0,0.0,1560,0.14,0.70,Deal,HealthLoss→LaserLengthPercent,生命值-150|激光长度+15%,0,0,0.0,0.0,0.0,0.0,0,1,6,0,0,0.0,None,1.00,0,0,0,0,"Prism>Reflex>Wide>Prism>Reflex>Prism>Prism>Prism>Wide>Reflex>Reflex>Reflex>Power","Prism:5|Reflex:5|Wide:2|Power:1",0,3026,50600,1563.2,1,520,110,0.00,0,20,0,6,0,26,Chapter01_01_Test,0,1.00
8,B,16,Win,44.2,12,0,2,6,1,21,1380,890,1380,710,180,180,0,180,0.28,38064,119138,0,0,36254,154,1027,0.01,157202,0,0,0.0,1560,0.14,0.80,Deal,HealthLoss→BaseDamagePercent,生命值-80|激光攻击力+12%,0,0,0.0,0.0,0.0,0.0,0,1,7,0,0,0.0,None,1.00,0,0,0,0,"Prism>Reflex>Wide>Prism>Reflex>Prism>Prism>Prism>Wide>Reflex>Reflex>Reflex>Power>Wide>Wide","Prism:5|Reflex:5|Wide:4|Power:1",0,7051,156600,3554.0,2,760,180,0.00,12,0,2,7,1,22,Chapter01_01_Test,0,1.00
9,B,17,Win,45.0,24,14,1,4,0,43,1300,710,1300,570,140,140,0,140,0.16,49078,116276,0,0,43243,165,924,0.02,165353,0,0,0.0,1716,0.14,0.90,Deal,HealthLoss→BaseDamageFlat,生命值-150|激光攻击力+300,0,0,0.0,0.0,0.0,0.0,0,1,8,0,0,0.0,None,1.00,0,0,0,0,"Prism>Reflex>Wide>Prism>Reflex>Prism>Prism>Prism>Wide>Reflex>Reflex>Reflex>Power>Wide>Wide>Wide","Prism:5|Reflex:5|Wide:5|Power:1",0,11549,165330,3675.9,5,944,227,0.00,24,14,1,5,0,44,Chapter01_01_Test,0,1.00
10,B,17,Win,21.7,0,8,0,0,0,8,1150,570,1150,320,0,0,250,250,0.00,845,3548,0,0,1183,2,10,0.27,4393,0,0,0.0,2112,0.14,1.00,None,None,None,0,0,0.0,0.0,0.0,0.0,0,1,8,250,0,0.0,Press,0.00,1,1,1,0,"Prism>Reflex>Wide>Prism>Reflex>Prism>Prism>Prism>Wide>Reflex>Reflex>Reflex>Power>Wide>Wide>Wide","Prism:5|Reflex:5|Wide:5|Power:1",1,2957,0,202.4,1,0,24,0.00,0,0,0,0,0,0,Chapter01_01_Test,120526,1.00
