Wave,Build_Type,Player_Level,Result,Time_To_Clear,Kill_Slime,Kill_Rusher,Kill_Tank,Kill_Drifter,Kill_Elite,Kill_Total,HP_Start_Hull,HP_Start_Shield,HP_End_Hull,HP_End_Shield,Dmg_From_Mobs,Dmg_From_Boss,Player_HP_Lost,Tank_Absorbed_Ratio,Dmg_Main_Laser,Dmg_Sub_Laser,Dmg_Explosion,Dmg_Chain,Crit_Damage_Total,Crit_Hit_Count,Normal_Hit_Count,Overkill_Ratio,Dmg_Dealt_Total,Frost_Slow_Count,Frost_Freeze_Count,Frost_Slow_Duration,Panel_DPS,Panel_Crit_Rate,Panel_Laser_Width,Drone_Choice,Drone_Reward_Type,Drone_Reward_Value,Drone_Acc_Health,Drone_Acc_Shield,Drone_Acc_Damage_Pct,Drone_Acc_Crit_Pct,Drone_Acc_Laser_Width,Drone_Acc_Laser_Length,Drone_Count_Supply,Drone_Count_Gacha,Drone_Count_Deal,Boss_Dmg_Collision,Boss_Dmg_Bullet,Boss_Pushback_Time,Boss_Phase,Boss_HP_Remaining,Boss_Charge_Count,Boss_Press_Count,Boss_Summon_Count,Boss_Stun_Count,Skill_Path,Skill_Levels,Overload_Count,DPS_Peak,Enemy_Total_HP
1,Mix,2,Win,42.0,19,0,0,0,0,19,2000,1000,2000,1000,0,0,0,0.00,20560,0,0,260,3400,17,221,0.03,20820,0,0,0.0,1000,0.10,0.50,Deal,HealthLoss→BaseDamageFlat,生命值-150|激光攻击力+300,0,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,None,1.00,0,0,0,0,"Chain","Chain:1",0,1320,20000
2,Mix,4,Win,76.9,20,0,0,4,0,24,1850,1000,1850,1000,0,0,0,0.00,34775,33,0,1365,5980,20,369,0.06,36173,0,0,0.0,1300,0.10,0.50,Deal,HealthLoss→CritRatePercent,生命值-80|激光暴击率+4%,0,0,0.0,0.0,0.0,0.0,0,0,2,0,0,0.0,None,1.00,0,0,0,0,"Chain>Prism>Chain","Chain:2|Prism:1",1,3224,32500
3,Mix,5,Win,62.0,18,0,0,7,0,25,1770,1000,1770,1000,0,0,0,0.00,39948,0,0,1468,9100,30,421,0.04,41417,0,0,0.0,1300,0.14,0.50,Deal,HealthLoss→CritRatePercent,生命值-80|激光暴击率+4%,0,0,0.0,0.0,0.0,0.0,0,0,3,0,0,0.0,None,1.00,0,0,0,0,"Chain>Prism>Chain>Chain","Chain:3|Prism:1",1,2860,38000
4,Mix,6,Win,33.0,20,4,0,0,0,24,1690,1000,1690,1000,0,0,0,0.00,26439,0,0,1219,7800,30,330,0.08,27658,0,0,0.0,1300,0.18,0.50,Deal,ShieldLoss→BaseDamagePercent,护盾值-100|激光攻击力+15%,0,0,0.0,0.0,0.0,0.0,0,0,4,0,0,0.0,None,1.00,0,0,0,0,"Chain>Prism>Chain>Chain>Chain","Chain:4|Prism:1",0,2153,24200
5,Mix,6,Win,39.0,10,7,0,5,0,22,1690,900,1690,900,0,0,0,0.00,36423,75,0,991,12035,31,241,0.08,37489,0,0,0.0,1495,0.18,0.50,Deal,HealthLoss→CritRatePercent,生命值-80|激光暴击率+4%,0,0,0.0,0.0,0.0,0.0,0,0,5,0,0,0.0,None,1.00,0,0,0,0,"Chain>Prism>Chain>Chain>Chain","Chain:4|Prism:1",1,4007,33360
6,Mix,8,Win,55.3,20,8,1,0,1,30,1610,900,1610,900,0,0,0,0.67,101439,4672,0,7404,35506,128,1719,0.03,113514,0,0,0.0,1495,0.22,0.50,Deal,HealthLoss→BaseDamagePercent,生命值-150|激光攻击力+18%,0,0,0.0,0.0,0.0,0.0,0,0,6,0,0,0.0,None,1.00,0,0,0,0,"Chain>Prism>Chain>Chain>Chain>Chain>Prism","Chain:5|Prism:2",1,3962,102960
7,Mix,9,Win,52.7,35,6,4,0,0,45,1460,900,1460,900,0,0,0,0.49,92220,20333,0,5598,39162,149,1453,0.04,118151,0,0,0.0,1729,0.22,0.50,Deal,HealthLoss→LaserLengthPercent,生命值-150|激光长度+15%,0,0,0.0,0.0,0.0,0.0,0,0,7,0,0,0.0,None,1.00,0,0,0,0,"Chain>Prism>Chain>Chain>Chain>Chain>Prism>Prism","Chain:5|Prism:3",0,5135,108360
8,B,11,Win,67.5,35,0,0,19,0,54,1310,900,1310,900,0,0,0,0.00,108524,28382,0,4265,50245,161,1190,0.06,141171,0,0,0.0,1729,0.22,0.50,Deal,ShieldLoss→BaseDamagePercent,护盾值-100|激光攻击力+15%,0,0,0.0,0.0,0.0,0.0,0,0,8,0,0,0.0,None,1.00,0,0,0,0,"Chain>Prism>Chain>Chain>Chain>Chain>Prism>Prism>Wide>Prism","Chain:5|Prism:4|Wide:1",1,10568,127500
9,B,12,Win,46.1,40,14,4,0,0,58,1310,800,1310,780,20,0,20,0.34,87446,64454,0,6638,50601,168,1484,0.05,158537,0,0,0.0,1924,0.22,0.60,Deal,HealthLoss→BaseDamagePercent,生命值-150|激光攻击力+18%,0,0,0.0,0.0,0.0,0.0,0,0,9,0,0,0.0,None,1.00,0,0,0,0,"Chain>Prism>Chain>Chain>Chain>Chain>Prism>Prism>Wide>Prism>Prism","Chain:5|Prism:5|Wide:1",1,16816,144160
10,B,14,Win,58.2,60,14,5,14,0,93,1160,780,1160,780,0,0,0,0.27,118214,120631,0,9452,84809,299,2428,0.04,248301,0,0,0.0,2158,0.22,0.60,Deal,ShieldLoss→CritRatePercent,护盾值-100|激光暴击率+5%,0,0,0.0,0.0,0.0,0.0,0,0,10,0,0,0.0,None,1.00,0,0,0,0,"Chain>Prism>Chain>Chain>Chain>Chain>Prism>Prism>Wide>Prism>Prism>Wide>Wide","Chain:5|Prism:5|Wide:3",0,11351,228960
11,B,16,Win,41.2,90,20,5,0,0,115,1160,680,1160,660,20,0,20,0.30,148394,161309,0,11362,125380,379,2397,0.06,321069,0,0,0.0,2158,0.27,0.80,Deal,HealthLoss→BaseDamagePercent,生命值-80|激光攻击力+12%,0,0,0.0,0.0,0.0,0.0,0,0,11,0,0,0.0,None,1.00,0,0,0,0,"Chain>Prism>Chain>Chain>Chain>Chain>Prism>Prism>Wide>Prism>Prism>Wide>Wide>Wide>Wide","Chain:5|Prism:5|Wide:5",1,27989,292000
12,B,16,Win,87.1,0,32,0,0,0,32,1080,660,540,0,0,1200,1200,0.00,162,16198,0,162,7868,33,95,0.22,16522,0,0,0.0,2314,0.27,1.00,None,None,None,0,0,0.0,0.0,0.0,0.0,0,0,11,1200,0,17.7,Press,0.00,4,4,4,3,"Chain>Prism>Chain>Chain>Chain>Chain>Prism>Prism>Wide>Prism>Prism>Wide>Wide>Wide>Wide","Chain:5|Prism:5|Wide:5",1,2198,0
